predicate;formula;frequency;closest_solution;solution_distance
this/inv14;(all ref0:(one Class),ref1:(one Person),ref2:(one Teacher)|(((some ref3:(one Group)|((ref0 -> (ref1 -> ref3)) in (Class <: Groups))) && ((ref2 -> ref0) in (Person <: Teaches))) => ((ref2 -> ref1) in (Person <: Tutors))));15;(all ref0:(one Class),ref1:(one Person),ref2:(one Person)|(((some ref3:(one Group)|((ref0 -> (ref1 -> ref3)) in (Class <: Groups))) && ((ref2 -> ref0) in (Person <: Teaches))) => ((ref2 -> ref1) in (Person <: Tutors))));8
this/inv5;(all ref0:(one Teacher)|(some ref1:(one Class)|((ref0 -> ref1) in (Person <: Teaches))));14;(some ref0:(one Class),ref1:(one Teacher)|((ref1 -> ref0) in (Person <: Teaches)));6
this/inv8;(all ref0:(one Teacher)|(some ref1:(one Class),ref2:(one Class)|((((ref0 -> ref1) in (Person <: Teaches)) && ((ref0 -> ref2) in (Person <: Teaches))) => (ref1 = ref2))));14;(all ref0:(one Class),ref1:(one Class),ref2:(one Teacher)|((((ref2 -> ref0) in (Person <: Teaches)) && ((ref2 -> ref1) in (Person <: Teaches))) => (ref0 = ref1)));12
this/inv6;(all ref0:(one Class),ref1:(one Teacher)|((ref1 -> ref0) in (Person <: Teaches)));13;(all ref0:(one Teacher)|(some ref1:(one Class)|(ref1 in (ref0 . (Person <: Teaches)))));6
this/inv11;(all ref0:(one Class)|(some ref1:(one Group),ref2:(one Teacher)|((ref0 -> (ref2 -> ref1)) in (Class <: Groups))));13;(all ref0:(one Class)|((some ref1:(one Group),ref2:(one Person)|((ref0 -> (ref2 -> ref1)) in (Class <: Groups))) => (some ref3:(one Teacher)|((ref3 -> ref0) in (Person <: Teaches)))));13
this/inv4;(no (Student + Teacher));12;(Person in (Student + Teacher));3
this/inv11;(all ref0:(one Class)|((some ref1:(one Group),ref2:(one Student)|((ref0 -> (ref2 -> ref1)) in (Class <: Groups))) => (some ref3:(one Teacher)|((ref3 -> ref0) in (Person <: Teaches)))));12;(all ref0:(one Class)|((some ref1:(one Group),ref2:(one Person)|((ref0 -> (ref2 -> ref1)) in (Class <: Groups))) => (some ref3:(one Teacher)|((ref3 -> ref0) in (Person <: Teaches)))));8
this/inv13;(all ref0:(one Student),ref1:(one Teacher)|((ref1 -> ref0) in (Person <: Tutors)));12;(all ref0:(one Person),ref1:(one Person)|(((ref0 -> ref1) in (Person <: Tutors)) => ((ref0 in Teacher) && (ref1 in Student))));14
this/inv11;(all ref0:(one Class)|(some ref1:(one Group),ref2:(one Teacher)|(((ref0 -> (ref2 -> ref1)) in (Class <: Groups)) => ((ref2 -> ref0) in (Person <: Teaches)))));11;(all ref0:(one Class)|((some ref1:(one Group),ref2:(one Person)|((ref0 -> (ref2 -> ref1)) in (Class <: Groups))) => (some ref3:(one Teacher)|((ref3 -> ref0) in (Person <: Teaches)))));9
this/inv11;(all ref0:(one Class),ref1:(one Group)|(some ref2:(one Teacher)|((ref0 -> (ref2 -> ref1)) in (Class <: Groups))));11;(all ref0:(one Class)|((some ref1:(one Group),ref2:(one Person)|((ref0 -> (ref2 -> ref1)) in (Class <: Groups))) => (some ref3:(one Teacher)|((ref3 -> ref0) in (Person <: Teaches)))));13
this/inv9;(all ref0:(one Class)|(lone ((Person <: Teaches) . ref0)));10;(all ref0:(one Class)|(lone (((Person <: Teaches) . ref0) & Teacher)));4
this/inv12;(all ref0:(one Teacher)|(some ref1:(one Class)|(((ref0 -> ref1) in (Person <: Teaches)) => (some ref2:(one Group),ref3:(one Person)|((ref1 -> (ref3 -> ref2)) in (Class <: Groups))))));10;(all ref0:(one Teacher)|(some ref1:(one Class),ref2:(one Group),ref3:(one Person)|(((ref0 -> ref1) in (Person <: Teaches)) && ((ref1 -> (ref3 -> ref2)) in (Class <: Groups)))));10
this/inv14;(all ref0:(one Class),ref1:(one Group),ref2:(one Student)|(some ref3:(one Teacher)|((((ref0 -> (ref2 -> ref1)) in (Class <: Groups)) && ((ref3 -> ref0) in (Person <: Teaches))) => ((ref3 -> ref2) in (Person <: Tutors)))));10;(all ref0:(one Class),ref1:(one Group),ref2:(one Person),ref3:(one Person)|((((ref0 -> (ref2 -> ref1)) in (Class <: Groups)) && ((ref3 -> ref0) in (Person <: Teaches))) => ((ref3 -> ref2) in (Person <: Tutors))));8
this/inv12;(all ref0:(one Teacher)|(some ref1:(one Class),ref2:(one Group)|(((ref0 -> ref1) in (Person <: Teaches)) => ((ref1 -> (ref0 -> ref2)) in (Class <: Groups)))));10;(all ref0:(one Teacher)|(some ref1:(one Class),ref2:(one Group),ref3:(one Person)|(((ref0 -> ref1) in (Person <: Teaches)) && ((ref1 -> (ref3 -> ref2)) in (Class <: Groups)))));11
this/inv4;(all ref0:(one Person)|((ref0 !in Student) || (ref0 !in Teacher)));9;(no ref0:(one Person)|((ref0 !in Student) && (ref0 !in Teacher)));4
this/inv7;(some ref0:(one Teacher)|(all ref1:(one Class)|((ref0 -> ref1) in (Person <: Teaches))));9;(all ref0:(one Class)|(some ref1:(one Teacher)|(ref0 in (ref1 . (Person <: Teaches)))));6
this/inv11;(all ref0:(one Class),ref1:(one Group)|(some ref2:(one Teacher)|((some ((ref0 . (Class <: Groups)) . ref1)) => (((ref0 -> (ref2 -> ref1)) in (Class <: Groups)) && ((ref2 -> ref0) in (Person <: Teaches))))));9;(all ref0:(one Class),ref1:(one Group)|((some ((ref0 . (Class <: Groups)) . ref1)) => (some ref2:(one Teacher)|((ref2 -> ref0) in (Person <: Teaches)))));14
this/inv14;(all ref0:(one Student)|(some ref1:(one Class),ref2:(one Group),ref3:(one Teacher)|((((ref1 -> (ref0 -> ref2)) in (Class <: Groups)) && ((ref3 -> ref1) in (Person <: Teaches))) => ((ref3 -> ref0) in (Person <: Tutors)))));9;(all ref0:(one Class),ref1:(one Group),ref2:(one Person),ref3:(one Person)|((((ref0 -> (ref2 -> ref1)) in (Class <: Groups)) && ((ref3 -> ref0) in (Person <: Teaches))) => ((ref3 -> ref2) in (Person <: Tutors))));16
this/inv12;(all ref0:(one Class),ref1:(one Group),ref2:(one Teacher)|((ref0 -> (ref2 -> ref1)) in (Class <: Groups)));9;(all ref0:(one Teacher)|(some ((ref0 . (Person <: Teaches)) . (Class <: Groups))));13
this/inv12;(all ref0:(one Teacher)|(some ref1:(one Class)|(((ref0 -> ref1) in (Person <: Teaches)) => (some ref2:(one Group),ref3:(one Student)|((ref1 -> (ref3 -> ref2)) in (Class <: Groups))))));8;(all ref0:(one Teacher)|(some ref1:(one Class),ref2:(one Group),ref3:(one Person)|(((ref0 -> ref1) in (Person <: Teaches)) && ((ref1 -> (ref3 -> ref2)) in (Class <: Groups)))));10
this/inv13;(some ref0:(one Person),ref1:(one Person)|(((ref0 -> ref1) in (Person <: Tutors)) => ((ref0 in Teacher) && (ref1 in Student))));8;(all ref0:(one Person),ref1:(one Person)|(((ref0 -> ref1) in (Person <: Tutors)) => ((ref0 in Teacher) && (ref1 in Student))));4
this/inv14;(all ref0:(one Group),ref1:(one Student)|(some ref2:(one Class),ref3:(one Teacher)|((((ref2 -> (ref1 -> ref0)) in (Class <: Groups)) && ((ref3 -> ref2) in (Person <: Teaches))) => ((ref3 -> ref1) in (Person <: Tutors)))));8;(all ref0:(one Class),ref1:(one Person)|((some ref2:(one Group)|((ref0 -> (ref1 -> ref2)) in (Class <: Groups))) => (all ref3:(one Person)|(((ref3 -> ref0) in (Person <: Teaches)) => ((ref3 -> ref1) in (Person <: Tutors))))));16
this/inv12;(all ref0:(one Teacher)|(some ref1:(one Class),ref2:(one Group),ref3:(one Student)|(((ref0 -> ref1) in (Person <: Teaches)) && ((ref1 -> (ref3 -> ref2)) in (Class <: Groups)))));8;(all ref0:(one Teacher)|(some ref1:(one Class),ref2:(one Group),ref3:(one Person)|(((ref0 -> ref1) in (Person <: Teaches)) && ((ref1 -> (ref3 -> ref2)) in (Class <: Groups)))));8
this/inv9;(all ref0:(one Class)|(lone (ref0 . (~ (Person <: Teaches)))));7;(all ref0:(one Class)|(lone ((ref0 . (~ (Person <: Teaches))) & Teacher)));4
this/inv11;(all ref0:(one Class),ref1:(one Group),ref2:(one Teacher)|(((ref0 -> (ref2 -> ref1)) in (Class <: Groups)) => ((ref2 -> ref0) in (Person <: Teaches))));7;(all ref0:(one Class)|((some ref1:(one Group),ref2:(one Person)|((ref0 -> (ref2 -> ref1)) in (Class <: Groups))) => (some ref3:(one Teacher)|((ref3 -> ref0) in (Person <: Teaches)))));9
this/inv9;(all ref0:(one Class)|(some ref1:(one Teacher),ref2:(one Teacher)|((((ref1 -> ref0) in (Person <: Teaches)) && ((ref2 -> ref0) in (Person <: Teaches))) => (ref1 = ref2))));7;(all ref0:(one Class),ref1:(one Teacher),ref2:(one Teacher)|((((ref1 -> ref0) in (Person <: Teaches)) && ((ref2 -> ref0) in (Person <: Teaches))) => (ref1 = ref2)));6
this/inv11;(all ref0:(one Class),ref1:(one Student)|(some ref2:(one Group)|(((ref0 -> (ref1 -> ref2)) in (Class <: Groups)) => (some ref3:(one Teacher)|((ref3 -> ref0) in (Person <: Teaches))))));7;(all ref0:(one Class)|((some ref1:(one Group),ref2:(one Person)|((ref0 -> (ref2 -> ref1)) in (Class <: Groups))) => (some ref3:(one Teacher)|((ref3 -> ref0) in (Person <: Teaches)))));10
this/inv11;(all ref0:(one Class),ref1:(one Group),ref2:(one Person)|(some ref3:(one Teacher)|(((ref0 -> (ref2 -> ref1)) in (Class <: Groups)) => ((ref3 -> ref0) in (Person <: Teaches)))));7;(all ref0:(one Class)|((some ref1:(one Group),ref2:(one Person)|((ref0 -> (ref2 -> ref1)) in (Class <: Groups))) => (some ref3:(one Teacher)|((ref3 -> ref0) in (Person <: Teaches)))));8
this/inv11;(all ref0:(one Class)|(some (ref0 . (Class <: Groups))));7;(all ref0:(one Class)|((some (ref0 . (Class <: Groups))) => (some ref1:(one Teacher)|((ref1 -> ref0) in (Person <: Teaches)))));9
this/inv8;(all ref0:(one Class),ref1:(one Teacher),ref2:(one Teacher)|((((ref1 -> ref0) in (Person <: Teaches)) && ((ref2 -> ref0) in (Person <: Teaches))) => (ref1 = ref2)));7;(all ref0:(one Class),ref1:(one Class),ref2:(one Teacher)|((((ref2 -> ref0) in (Person <: Teaches)) && ((ref2 -> ref1) in (Person <: Teaches))) => (ref0 = ref1)));12
this/inv14;(all ref0:(one Class),ref1:(one Student)|((some ref2:(one Group)|((ref0 -> (ref1 -> ref2)) in (Class <: Groups))) => (some ref3:(one Teacher)|(((ref3 -> ref0) in (Person <: Teaches)) && ((ref3 -> ref1) in (Person <: Tutors))))));7;(all ref0:(one Class),ref1:(one Person)|((some ref2:(one Group)|((ref0 -> (ref1 -> ref2)) in (Class <: Groups))) => (all ref3:(one Person)|(((ref3 -> ref0) in (Person <: Teaches)) => ((ref3 -> ref1) in (Person <: Tutors))))));10
this/inv11;(all ref0:(one Class),ref1:(one Student),ref2:(one Teacher)|(some ref3:(one Group)|(((ref0 -> (ref1 -> ref3)) in (Class <: Groups)) => ((ref2 -> ref0) in (Person <: Teaches)))));7;(all ref0:(one Class)|((some ref1:(one Group),ref2:(one Person)|((ref0 -> (ref2 -> ref1)) in (Class <: Groups))) => (some ref3:(one Teacher)|((ref3 -> ref0) in (Person <: Teaches)))));12
this/inv5;(some ref0:(one Class),ref1:(one Group),ref2:(one Teacher)|((ref0 -> (ref2 -> ref1)) in (Class <: Groups)));7;(some ref0:(one Class),ref1:(one Teacher)|((ref1 -> ref0) in (Person <: Teaches)));11
this/inv11;(all ref0:(one Class)|(some ref1:(one Teacher)|((some (ref0 . (Class <: Groups))) => (ref0 in (ref1 . (Person <: Teaches))))));7;(all ref0:(one Class)|((some (ref0 . (Class <: Groups))) => (some ref1:(one Teacher)|((ref1 -> ref0) in (Person <: Teaches)))));8
this/inv14;(all ref0:(one Student),ref1:(one Teacher)|(some ref2:(one Class),ref3:(one Group)|((((ref1 -> ref2) in (Person <: Teaches)) && ((ref2 -> (ref0 -> ref3)) in (Class <: Groups))) => ((ref1 -> ref0) in (Person <: Tutors)))));7;(all ref0:(one Class),ref1:(one Person),ref2:(one Person)|(((some ref3:(one Group)|((ref0 -> (ref1 -> ref3)) in (Class <: Groups))) && ((ref2 -> ref0) in (Person <: Teaches))) => ((ref2 -> ref1) in (Person <: Tutors))));20
this/inv11;(all ref0:(one Class),ref1:(one Group)|(some ref2:(one Person)|(((ref0 -> (ref2 -> ref1)) in (Class <: Groups)) => (ref2 in Teacher))));7;(all ref0:(one Class)|((some ref1:(one Group),ref2:(one Person)|((ref0 -> (ref2 -> ref1)) in (Class <: Groups))) => (some ref3:(one Teacher)|((ref3 -> ref0) in (Person <: Teaches)))));13
this/inv12;(all ref0:(one Teacher)|(some ref1:(one Class)|(((ref0 -> ref1) in (Person <: Teaches)) => (some ref2:(one Group)|(all ref3:(one Person)|((ref1 -> (ref3 -> ref2)) in (Class <: Groups)))))));7;(all ref0:(one Teacher)|(some ref1:(one Class),ref2:(one Group),ref3:(one Person)|(((ref0 -> ref1) in (Person <: Teaches)) && ((ref1 -> (ref3 -> ref2)) in (Class <: Groups)))));10
this/inv14;(all ref0:(one Class),ref1:(one Student)|((some ref2:(one Group)|((ref0 -> (ref1 -> ref2)) in (Class <: Groups))) => (all ref3:(one Teacher)|(((ref3 -> ref0) in (Person <: Teaches)) => ((ref3 -> ref1) in (Person <: Tutors))))));6;(all ref0:(one Class),ref1:(one Person)|((some ref2:(one Group)|((ref0 -> (ref1 -> ref2)) in (Class <: Groups))) => (all ref3:(one Person)|(((ref3 -> ref0) in (Person <: Teaches)) => ((ref3 -> ref1) in (Person <: Tutors))))));8
this/inv11;(all ref0:(one Class)|(some ref1:(one Group),ref2:(one Teacher)|(((ref2 -> ref0) in (Person <: Teaches)) => ((ref0 -> (ref2 -> ref1)) in (Class <: Groups)))));6;(all ref0:(one Class)|((all ref1:(one Teacher)|((ref1 -> ref0) !in (Person <: Teaches))) => (all ref2:(one Group),ref3:(one Person)|((ref0 -> (ref3 -> ref2)) !in (Class <: Groups)))));15
this/inv14;(all ref0:(one Student)|(some ref1:(one Class),ref2:(one Group)|((some ref3:(one Teacher)|(((ref3 -> ref0) in (Person <: Tutors)) && ((ref3 -> ref1) in (Person <: Teaches)))) && ((ref1 -> (ref0 -> ref2)) in (Class <: Groups)))));6;(all ref0:(one Class),ref1:(one Person),ref2:(one Person)|((some ref3:(one Group)|(((ref0 -> (ref2 -> ref3)) in (Class <: Groups)) && ((ref1 -> ref0) in (Person <: Teaches)))) => ((ref1 -> ref2) in (Person <: Tutors))));22
this/inv14;(all ref0:(one Class),ref1:(one Student)|(some ref2:(one Teacher)|(((ref2 -> ref0) in (Person <: Teaches)) => ((ref2 -> ref1) in (Person <: Tutors)))));6;(all ref0:(one Class),ref1:(one Person),ref2:(one Person)|((some ref3:(one Group)|((ref0 -> (ref1 -> ref3)) in (Class <: Groups))) => (((ref2 -> ref0) in (Person <: Teaches)) => ((ref2 -> ref1) in (Person <: Tutors)))));15
this/inv11;(all ref0:(one Class)|(some ref1:(one Teacher)|((some (Person . (ref0 . (Class <: Groups)))) => (ref0 in (ref1 . (Person <: Teaches))))));6;(all ref0:(one Class)|((some (Person . (ref0 . (Class <: Groups)))) => (some ref1:(one Teacher)|((ref1 -> ref0) in (Person <: Teaches)))));8
this/inv12;(all ref0:(one Class),ref1:(one Teacher)|(some ref2:(one Group)|(((ref0 -> (ref1 -> ref2)) in (Class <: Groups)) => ((ref1 -> ref0) in (Person <: Teaches)))));6;(all ref0:(one Teacher)|(some ref1:(one Class)|((some ref2:(one Group),ref3:(one Person)|((ref1 -> (ref3 -> ref2)) in (Class <: Groups))) && ((ref0 -> ref1) in (Person <: Teaches)))));15
this/inv14;(all ref0:(one Class),ref1:(one Student)|(ref1 in ((ref0 . (Class <: Groups)) . Group)));6;(all ref0:(one Class),ref1:(one Person)|((some (ref1 . (ref0 . (Class <: Groups)))) => (((Person <: Teaches) . ref0) in ((Person <: Tutors) . ref1))));17
this/inv3;(all ref0:(one Person)|(((ref0 !in Teacher) => (ref0 in Student)) || ((ref0 in Teacher) => (ref0 !in Student))));6;(all ref0:(one Person)|(((ref0 !in Teacher) && (ref0 in Student)) || ((ref0 in Teacher) => (ref0 !in Student))));4
this/inv14;(all ref0:(one Class),ref1:(one Group),ref2:(one Person),ref3:(one Teacher)|((((ref0 -> (ref2 -> ref1)) in (Class <: Groups)) && ((ref3 -> ref0) in (Person <: Teaches))) => ((ref3 -> ref2) in (Person <: Tutors))));5;(all ref0:(one Class),ref1:(one Group),ref2:(one Person),ref3:(one Person)|((((ref0 -> (ref2 -> ref1)) in (Class <: Groups)) && ((ref3 -> ref0) in (Person <: Teaches))) => ((ref3 -> ref2) in (Person <: Tutors))));8
this/inv4;(all ref0:(one Person)|(! ((ref0 in Student) || (ref0 in Teacher))));5;(all ref0:(one Person)|((ref0 in Student) || (ref0 in Teacher)));3
this/inv5;(all ref0:(one Class),ref1:(one Teacher)|((ref1 -> ref0) in (Person <: Teaches)));5;(some ref0:(one Class),ref1:(one Teacher)|((ref1 -> ref0) in (Person <: Teaches)));4
this/inv11;(all ref0:(one Class),ref1:(one Student)|(some ref2:(one Group),ref3:(one Teacher)|(((ref0 -> (ref1 -> ref2)) in (Class <: Groups)) => ((ref3 -> ref0) in (Person <: Teaches)))));5;(all ref0:(one Class)|((some ref1:(one Group),ref2:(one Person)|((ref0 -> (ref2 -> ref1)) in (Class <: Groups))) => (some ref3:(one Teacher)|((ref3 -> ref0) in (Person <: Teaches)))));10
this/inv11;(all ref0:(one Class),ref1:(one Group),ref2:(one Student)|(((ref0 -> (ref2 -> ref1)) in (Class <: Groups)) => (some ref3:(one Teacher)|((ref0 -> (ref3 -> ref1)) in (Class <: Groups)))));5;(all ref0:(one Class)|((some ref1:(one Group),ref2:(one Person)|((ref0 -> (ref2 -> ref1)) in (Class <: Groups))) => (some ref3:(one Teacher)|((ref3 -> ref0) in (Person <: Teaches)))));14
this/inv14;(all ref0:(one Class),ref1:(one Student)|(some ref2:(one Group),ref3:(one Teacher)|((((ref0 -> (ref1 -> ref2)) in (Class <: Groups)) && ((ref3 -> ref0) in (Person <: Teaches))) => ((ref3 -> ref1) in (Person <: Tutors)))));5;(all ref0:(one Class),ref1:(one Person)|((some ref2:(one Group)|((ref0 -> (ref1 -> ref2)) in (Class <: Groups))) => (all ref3:(one Person)|(((ref3 -> ref0) in (Person <: Teaches)) => ((ref3 -> ref1) in (Person <: Tutors))))));10
this/inv3;(all ref0:(one Person)|(((ref0 !in Student) && (ref0 in Teacher)) || ((ref0 !in Teacher) && (ref0 in Student))));5;(all ref0:(one Person)|((ref0 !in Student) || (ref0 !in Teacher)));10
this/inv12;(all ref0:(one Teacher)|(some ref1:(one Group)|(ref1 in (ref0 . (Class . (Class <: Groups))))));5;(all ref0:(one Teacher)|(some ((ref0 . (Person <: Teaches)) . (Class <: Groups))));10
this/inv14;(all ref0:(one Class),ref1:(one Student)|(some ref2:(one Teacher)|(((some (ref1 . (ref0 . (Class <: Groups)))) && (some (ref2 . (ref0 . (Class <: Groups))))) => (ref2 in (ref1 . (^ (~ (Person <: Tutors))))))));5;(all ref0:(one Class),ref1:(one Person)|((some (ref1 . (ref0 . (Class <: Groups)))) => (((Person <: Teaches) . ref0) in ((Person <: Tutors) . ref1))));18
this/inv8;((Person <: Teaches) in (Teacher ->lone Class));5;(all ref0:(one Teacher)|(lone ref1:(one Class)|((ref0 -> ref1) in (Person <: Teaches))));8
this/inv12;(all ref0:(one Teacher)|(some ref1:(one Class),ref2:(one Group),ref3:(one Student)|(((ref1 -> (ref3 -> ref2)) in (Class <: Groups)) => ((ref0 -> ref1) in (Person <: Teaches)))));5;(all ref0:(one Teacher)|(some ref1:(one Class)|((some ref2:(one Group),ref3:(one Person)|((ref1 -> (ref3 -> ref2)) in (Class <: Groups))) && ((ref0 -> ref1) in (Person <: Teaches)))));10
this/inv11;(all ref0:(one Class),ref1:(one Group)|(some ref2:(one Teacher)|(((ref0 -> (ref2 -> ref1)) in (Class <: Groups)) => ((ref2 -> ref0) in (Person <: Teaches)))));5;(all ref0:(one Class)|((some ref1:(one Group),ref2:(one Person)|((ref0 -> (ref2 -> ref1)) in (Class <: Groups))) => (some ref3:(one Teacher)|((ref3 -> ref0) in (Person <: Teaches)))));9
this/inv11;(all ref0:(one Class)|(some ref1:(one Group),ref2:(one Person)|(((ref0 -> (ref2 -> ref1)) in (Class <: Groups)) => (ref2 in Teacher))));5;(all ref0:(one Class)|((some ref1:(one Group),ref2:(one Person)|((ref0 -> (ref2 -> ref1)) in (Class <: Groups))) => (some ref3:(one Teacher)|((ref3 -> ref0) in (Person <: Teaches)))));13
this/inv14;(all ref0:(one Student)|(some ref1:(one Class),ref2:(one Group),ref3:(one Teacher)|(((ref1 -> (ref0 -> ref2)) in (Class <: Groups)) && ((ref1 -> (ref3 -> ref2)) in (Class <: Groups)) && ((ref3 -> ref0) in (Person <: Tutors)))));5;(all ref0:(one Class),ref1:(one Person)|((some ref2:(one Group)|((ref0 -> (ref1 -> ref2)) in (Class <: Groups))) => (all ref3:(one Person)|(((ref3 -> ref0) in (Person <: Teaches)) => ((ref3 -> ref1) in (Person <: Tutors))))));23
this/inv5;(some ref0:(one Class),ref1:(one Person)|((ref1 -> ref0) in (Person <: Teaches)));5;(some ref0:(one Class),ref1:(one Teacher)|((ref1 -> ref0) in (Person <: Teaches)));4
this/inv12;(all ref0:(one Class),ref1:(one Teacher)|(((ref1 -> ref0) in (Person <: Teaches)) => (some ref2:(one Group),ref3:(one Person)|((ref0 -> (ref3 -> ref2)) in (Class <: Groups)))));5;(all ref0:(one Teacher)|(some ref1:(one Class),ref2:(one Group),ref3:(one Person)|(((ref0 -> ref1) in (Person <: Teaches)) && ((ref1 -> (ref3 -> ref2)) in (Class <: Groups)))));14
this/inv14;(all ref0:(one Student)|(some ref1:(one Class),ref2:(one Teacher)|(((ref2 -> ref1) in (Person <: Teaches)) => ((ref2 -> ref0) in (Person <: Tutors)))));5;(all ref0:(one Class),ref1:(one Person),ref2:(one Person)|((some ref3:(one Group)|((ref0 -> (ref1 -> ref3)) in (Class <: Groups))) => (((ref2 -> ref0) in (Person <: Teaches)) => ((ref2 -> ref1) in (Person <: Tutors)))));19
