;predicate;formula;frequency;closest_solution;solution_distance
17;this/inv7;(all ref0:(one User)|((((ref0 . (User <: follows)) . (User <: follows)) - (ref0 . (User <: follows))) = (ref0 . (User <: suggested))));51;(all ref0:(one User)|(((((ref0 . (User <: follows)) . (User <: follows)) - ref0) - (ref0 . (User <: follows))) = (ref0 . (User <: suggested))));4
18;this/inv1;(all ref0:(one Photo)|(some ref1:(one User)|(ref0 in (ref1 . (User <: posts)))));50;(all ref0:(one Photo)|(one ref1:(one User)|(ref0 in (ref1 . (User <: posts)))));4
19;this/inv3;(all ref0:(one User)|((ref0 . (User <: sees)) in ((ref0 . (User <: follows)) . (User <: posts))));50;(all ref0:(one User)|(((ref0 . (User <: sees)) - Ad) in ((ref0 . (User <: follows)) . (User <: posts))));4
20;this/inv5;(all ref0:(one Influencer),ref1:(one (User - Influencer))|(ref0 in (ref1 . (User <: follows))));50;(all ref0:(one Influencer),ref1:(one (User - ref0))|(ref0 in (ref1 . (User <: follows))));4
21;this/inv7;(all ref0:(one User),ref1:(one User)|((ref1 in (ref0 . (User <: suggested))) => ((ref0 != ref1) && (ref1 !in (ref0 . (User <: follows))) && (ref1 in ((ref0 . (User <: follows)) . (User <: follows))))));48;(all ref0:(one User)|((ref0 . (User <: suggested)) = {ref1:(one ((ref0 . (User <: follows)) . (User <: follows)))|((ref0 != ref1) && (ref1 !in (ref0 . (User <: follows))))}));15
22;this/inv7;(all ref0:(one User),ref1:(one User)|((! disj[ref0,ref1]) || (((ref0 !in (ref1 . (User <: follows))) && (ref0 in (ref1 . (^ (User <: follows))))) => (ref0 in (ref1 . (User <: suggested))))));47;(all ref0:(one User),ref1:(one User)|(((ref0 != ref1) && (ref0 !in (ref1 . (User <: follows))) && (ref0 in ((ref1 . (User <: follows)) . (User <: follows)))) <=> (ref0 in (ref1 . (User <: suggested)))));15
23;this/inv1;(all ref0:(one Photo),ref1:(one User)|(ref0 in (ref1 . (User <: posts))));45;(all ref0:(one Photo)|(one ref1:(one User)|(ref0 in (ref1 . (User <: posts)))));4
24;this/inv7;(all ref0:(one User)|((ref0 . (User <: suggested)) in (((ref0 . (User <: follows)) . (User <: follows)) - (ref0 . (User <: follows)))));44;(all ref0:(one User)|(((((ref0 . (User <: follows)) . (User <: follows)) - ref0) - (ref0 . (User <: follows))) = (ref0 . (User <: suggested))));12
25;this/inv7;(all ref0:(one User)|((ref0 . (User <: suggested)) in ((((ref0 . (User <: follows)) . (User <: follows)) - (ref0 . (User <: follows))) - ref0)));43;(all ref0:(one User)|(((((ref0 . (User <: follows)) . (User <: follows)) - (ref0 . (User <: follows))) - ref0) = (ref0 . (User <: suggested))));10
26;this/inv5;(all ref0:(one User)|(Influencer in (ref0 . (User <: follows))));41;(all ref0:(one User)|((Influencer - ref0) in (ref0 . (User <: follows))));4
27;this/inv7;(all ref0:(one User),ref1:(one User)|(((ref0 -> ref1) in (User <: suggested)) => (some ref2:(one User)|(((ref0 -> ref1) !in (User <: follows)) && ((ref0 -> ref2) in (User <: follows)) && ((ref2 -> ref1) in (User <: follows))))));41;(all ref0:(one User),ref1:(one User)|((some ref2:(one User)|((ref0 != ref1) && ((ref0 -> ref1) !in (User <: follows)) && ((ref0 -> ref2) in (User <: follows)) && ((ref2 -> ref1) in (User <: follows)))) <=> ((ref0 -> ref1) in (User <: suggested))));19
28;this/inv5;(all ref0:(one Influencer)|(ref0 in (User . (User <: follows))));39;(all ref0:(one User),ref1:(one (Influencer - ref0))|(ref0 in ((User <: follows) . ref1)));5
29;this/inv1;(all ref0:(one Photo),ref1:(one User),ref2:(one User)|((((ref1 -> ref0) in (User <: posts)) && ((ref2 -> ref0) in (User <: posts))) => (ref1 = ref2)));38;((all ref0:(one Photo),ref1:(one User),ref2:(one User)|((((ref1 -> ref0) in (User <: posts)) && ((ref2 -> ref0) in (User <: posts))) => (ref1 = ref2))) && (all ref3:(one Photo)|(ref3 in (User . (User <: posts)))));13
30;this/inv2;(all ref0:(one User)|(no ((User <: follows) . ref0)));37;(no ((User <: follows) & iden));5
31;this/inv1;(all ref0:(one Photo),ref1:(one User),ref2:(one User)|(((ref0 in (ref1 . (User <: posts))) && (ref0 in (ref2 . (User <: posts)))) => (ref1 = ref2)));33;((all ref0:(one Photo),ref1:(one User),ref2:(one User)|(((ref0 in (ref1 . (User <: posts))) && (ref0 in (ref2 . (User <: posts)))) => (ref1 = ref2))) && (all ref3:(one Photo)|(ref3 in (User . (User <: posts)))));13
32;this/inv7;(all ref0:(one User),ref1:(one User),ref2:(one User)|((ref2 in (ref0 . (User <: suggested))) => ((ref1 in (ref0 . (User <: follows))) && (ref2 !in (ref0 . (User <: follows))) && (ref2 in (ref1 . (User <: follows))))));29;(all ref0:(one User)|((ref0 . (User <: suggested)) = {ref1:(one ((ref0 . (User <: follows)) . (User <: follows)))|((ref0 != ref1) && (ref1 !in (ref0 . (User <: follows))))}));22
33;this/inv1;(all ref0:(one Photo)|(one (ref0 . (User <: posts))));26;(all ref0:(one Photo)|(one (ref0 . (~ (User <: posts)))));3
34;this/inv5;(all ref0:(one Influencer),ref1:(one User)|((ref0 != ref1) && (ref0 in (ref1 . (User <: follows)))));26;(all ref0:(one Influencer)|(no ref1:(one User)|((ref0 != ref1) && (ref0 !in (ref1 . (User <: follows))))));6
35;this/inv5;(all ref0:(one User)|((ref0 . (User <: follows)) in Influencer));24;(all ref0:(one User),ref1:(one (Influencer - ref0))|(ref1 in (ref0 . (User <: follows))));5
36;this/inv7;(all ref0:(one User),ref1:(one (ref0 . (User <: suggested)))|((ref1 !in (ref0 . (User <: follows))) && (ref1 in ((ref0 . (User <: follows)) . (User <: follows)))));24;(all ref0:(one User),ref1:(one User)|(((ref1 !in (ref0 + (ref0 . (User <: follows)))) && (ref1 in ((ref0 . (User <: follows)) . (User <: follows)))) <=> (ref1 in (ref0 . (User <: suggested)))));12
37;this/inv7;(all ref0:(one User),ref1:(one User),ref2:(one User)|(((ref1 in (ref0 . (User <: follows))) && (ref2 !in (ref0 . (User <: follows))) && (ref2 in (ref1 . (User <: follows)))) => (ref2 in (ref0 . (User <: suggested)))));23;(all ref0:(one User),ref1:(one User)|(((some ref2:(one (ref0 . (User <: follows)))|(ref1 in (ref2 . (User <: follows)))) && (ref1 !in (ref0 + (ref0 . (User <: follows))))) <=> (ref1 in (ref0 . (User <: suggested)))));21
38;this/inv5;(all ref0:(one Influencer),ref1:(one (User - Influencer))|(ref1 in ((User <: follows) . ref0)));21;(all ref0:(one Influencer),ref1:(one (User - ref0))|(ref1 in ((User <: follows) . ref0)));4
39;this/inv4;(all ref0:(one User)|(one ref1:(one Ad)|((ref1 in (ref0 . (User <: posts))) => ((ref0 . (User <: posts)) in Ad))));21;(all ref0:(one User)|((some ref1:(one Ad)|(ref1 in (ref0 . (User <: posts)))) => ((ref0 . (User <: posts)) in Ad)));4
40;this/inv1;(all ref0:(one Photo)|(some ((User <: posts) . ref0)));20;(all ref0:(one Photo)|(one ((User <: posts) . ref0)));4
41;this/inv5;(all ref0:(one User),ref1:(one User)|((ref0 in Influencer) => (ref0 in (ref1 . (User <: follows)))));20;(all ref0:(one User)|((ref0 in Influencer) => (all ref1:(one (User - ref0))|(ref0 in (ref1 . (User <: follows))))));4
42;this/inv7;(all ref0:(one User)|((ref0 . (User <: suggested)) in ((ref0 . (User <: follows)) . (User <: follows))));18;(((((User <: follows) . (User <: follows)) - (User <: follows)) - iden) = (User <: suggested));13
43;this/inv7;(all ref0:(one User),ref1:(one User)|(((ref1 !in (ref0 . (User <: follows))) && (ref1 in ((ref0 . (User <: follows)) . (User <: follows)))) => (ref1 in (ref0 . (User <: suggested)))));18;(all ref0:(one User),ref1:(one User)|(((ref1 !in (ref0 + (ref0 . (User <: follows)))) && (ref1 in ((ref0 . (User <: follows)) . (User <: follows)))) <=> (ref1 in (ref0 . (User <: suggested)))));8
44;this/inv5;(all ref0:(one Influencer),ref1:(one User)|(ref1 in (ref0 . (User <: follows))));18;(all ref0:(one User),ref1:(one (Influencer - ref0))|(ref1 in (ref0 . (User <: follows))));4
45;this/inv7;(all ref0:(one User),ref1:(one User),ref2:(one User)|((((ref0 -> ref1) in (User <: follows)) && ((ref0 -> ref2) !in (User <: follows)) && ((ref1 -> ref2) in (User <: follows))) => ((ref0 -> ref2) in (User <: suggested))));18;(all ref0:(one User),ref1:(one User)|((some ref2:(one User)|((! ((ref0 -> ref1) in (User <: follows))) && (ref0 != ref1) && ((ref0 -> ref2) in (User <: follows)) && ((ref2 -> ref1) in (User <: follows)))) <=> ((ref0 -> ref1) in (User <: suggested))));18
46;this/inv1;(all ref0:(one Photo)|(lone ((User <: posts) . ref0)));17;(all ref0:(one Photo)|(one ((User <: posts) . ref0)));4
47;this/inv5;(all ref0:(one Influencer),ref1:(one User)|(ref0 in ((User <: follows) . ref1)));16;(all ref0:(one User),ref1:(one (Influencer - ref0))|(ref0 in ((User <: follows) . ref1)));4
48;this/inv7;(all ref0:(one User),ref1:(one User)|(((ref0 -> ref1) in (User <: suggested)) => (some ref2:(one User)|((ref0 != ref1) && ((ref0 -> ref1) !in (User <: follows)) && ((ref0 -> ref2) in (User <: follows)) && ((ref2 -> ref1) in (User <: follows))))));16;(all ref0:(one User),ref1:(one User)|((some ref2:(one User)|((ref0 != ref1) && ((ref0 -> ref1) !in (User <: follows)) && ((ref0 -> ref2) in (User <: follows)) && ((ref2 -> ref1) in (User <: follows)))) <=> ((ref0 -> ref1) in (User <: suggested))));18
49;this/inv6;(all ref0:(one Influencer)|(((ref0 . (User <: posts)) . (Photo <: date)) in Day));15;(all ref0:(one Influencer)|(Day in ((ref0 . (User <: posts)) . (Photo <: date))));4
50;this/inv5;(all ref0:(one Influencer)|(((User <: follows) . ref0) in User));15;(all ref0:(one Influencer),ref1:(one (User - ref0))|(ref1 in ((User <: follows) . ref0)));5
51;this/inv1;(Photo in (User . (User <: posts)));14;((~ (User <: posts)) in (Photo ->one User));5
52;this/inv5;(all ref0:(one Influencer),ref1:(one User)|((ref0 != ref1) && ((ref1 -> ref0) in (User <: follows))));14;(all ref0:(one Influencer),ref1:(one User)|((ref0 != ref1) => ((ref1 -> ref0) in (User <: follows))));6
53;this/inv3;((all ref0:(one Photo),ref1:(one User),ref2:(one User)|(((ref0 != Ad) && (ref0 in (ref1 . (User <: sees)))) => ((ref0 in (ref2 . (User <: posts))) && (ref2 in (ref1 . (User <: follows)))))) && (all ref3:(one Ad),ref4:(one User)|(ref3 in (ref4 . (User <: sees)))));14;(all ref0:(one Photo),ref1:(one User)|(((ref0 !in Ad) && (ref0 in (ref1 . (User <: sees)))) => (some ref2:(one User)|((ref0 in (ref2 . (User <: posts))) && (ref2 in (ref1 . (User <: follows)))))));16
54;this/inv2;(((User <: follows) . (~ (User <: follows))) !in iden);14;((User <: follows) in ((User <: follows) - iden));5
55;this/inv1;(all ref0:(one Photo),ref1:(one User)|((ref1 -> ref0) in (User <: posts)));13;(all ref0:(one Photo)|(one ref1:(one User)|((ref1 -> ref0) in (User <: posts))));4
56;this/inv6;(all ref0:(one Day)|(ref0 in ((Influencer . (User <: posts)) . (Photo <: date))));13;(all ref0:(one Day),ref1:(one Influencer)|(ref0 in ((ref1 . (User <: posts)) . (Photo <: date))));5
57;this/inv3;(all ref0:(one Photo),ref1:(one User),ref2:(one User)|(((ref0 in (ref1 . (User <: sees))) && (ref0 in (ref2 . (User <: posts)))) => (ref2 in (ref1 . (User <: follows)))));13;(all ref0:(one (Photo - Ad)),ref1:(one User),ref2:(one User)|(((ref0 in (ref1 . (User <: sees))) && (ref0 in (ref2 . (User <: posts)))) => (ref2 in (ref1 . (User <: follows)))));6
58;this/inv4;(all ref0:(one User)|(some ref1:(one Ad)|(((ref0 -> ref1) in (User <: posts)) => ((ref0 . (User <: posts)) in Ad))));13;(all ref0:(one User)|((some ref1:(one Ad)|((ref0 -> ref1) in (User <: posts))) => ((ref0 . (User <: posts)) in Ad)));4
59;this/inv7;(all ref0:(one User)|(((ref0 . (User <: follows)) . (User <: follows)) = (ref0 . (User <: suggested))));13;(all ref0:(one User)|(((((ref0 . (User <: follows)) . (User <: follows)) - ref0) - (ref0 . (User <: follows))) = (ref0 . (User <: suggested))));8
60;this/inv5;(Influencer in (User . (User <: follows)));13;(all ref0:(one User)|((Influencer - ref0) in (ref0 . (User <: follows))));5
61;this/inv4;(all ref0:(one User)|(some ref1:(one Photo)|(((ref1 in (ref0 . (User <: posts))) && (ref1 in Ad)) => (all ref2:(one Photo)|((ref2 in (ref0 . (User <: posts))) && (ref2 in Ad))))));13;(all ref0:(one User)|((some ref1:(one Photo)|((ref1 in (ref0 . (User <: posts))) && (ref1 in Ad))) => ((ref0 . (User <: posts)) in Ad)));11
62;this/inv3;(all ref0:(one User)|(((ref0 . (User <: sees)) in ((ref0 . (User <: follows)) . (User <: posts))) || ((ref0 . (User <: sees)) in Ad)));13;(all ref0:(one User)|(((ref0 . (User <: sees)) - Ad) in ((ref0 . (User <: follows)) . (User <: posts))));10
63;this/inv4;(all ref0:(one User)|(some ref1:(one Photo)|(((ref1 in (ref0 . (User <: posts))) && (ref1 in Ad)) => (all ref2:(one Photo)|((ref2 in (ref0 . (User <: posts))) => (ref2 in Ad))))));13;(all ref0:(one User)|((some ref1:(one Ad)|(ref1 in (ref0 . (User <: posts)))) => (all ref2:(one Photo)|((ref2 in (ref0 . (User <: posts))) => (ref2 in Ad)))));10
64;this/inv5;(all ref0:(one Influencer)|(ref0 in ((User - ref0) . (User <: follows))));12;(all ref0:(one Influencer)|(((User - ref0) -> ref0) in (User <: follows)));6
65;this/inv7;(all ref0:(one User),ref1:(one User)|(((ref1 !in (ref0 . (User <: follows))) && (ref1 in ((ref0 . (User <: follows)) . (User <: follows)))) <=> (ref1 in (ref0 . (User <: suggested)))));12;(all ref0:(one User),ref1:(one User)|(((ref1 !in (ref0 + (ref0 . (User <: follows)))) && (ref1 in ((ref0 . (User <: follows)) . (User <: follows)))) <=> (ref1 in (ref0 . (User <: suggested)))));6
66;this/inv2;(all ref0:(one User)|(ref0 !in (ref0 . (^ (User <: follows)))));12;(all ref0:(one User)|(ref0 !in (ref0 . (User <: follows))));3
67;this/inv4;(all ref0:(one Ad),ref1:(one User)|((ref0 in (ref1 . (User <: posts))) => ((ref1 . (User <: posts)) in ref0)));12;(all ref0:(one Ad),ref1:(one User)|((ref0 in (ref1 . (User <: posts))) => ((ref1 . (User <: posts)) in Ad)));6
68;this/inv4;(all ref0:(one User)|(some ref1:(one (ref0 . (User <: posts)))|((ref1 in Ad) => ((ref0 . (User <: posts)) in Ad))));12;(all ref0:(one User),ref1:(one (ref0 . (User <: posts)))|((ref1 in Ad) => ((ref0 . (User <: posts)) in Ad)));4
69;this/inv4;(all ref0:(one User)|((ref0 . (User <: posts)) in Ad));12;(all ref0:(one ((User <: posts) . Ad))|((ref0 . (User <: posts)) in Ad));2
70;this/inv7;(all ref0:(one User),ref1:(one User)|((ref0 in (ref1 . (User <: suggested))) => ((ref0 !in (ref1 . (User <: follows))) && (ref0 in ((ref1 . (User <: follows)) . (User <: follows))))));12;(all ref0:(one User),ref1:(one User)|(((ref0 != ref1) && (ref0 !in (ref1 . (User <: follows))) && (ref0 in ((ref1 . (User <: follows)) . (User <: follows)))) <=> (ref0 in (ref1 . (User <: suggested)))));17
71;this/inv7;(all ref0:(one User),ref1:(one User)|((! disj[ref0,ref1]) || ((ref0 in (ref1 . (User <: suggested))) => ((ref0 !in (ref1 . (User <: follows))) && (ref0 in ((ref1 . (User <: follows)) . (User <: follows)))))));11;(all ref0:(one User),ref1:(one User)|(((ref0 != ref1) && (ref0 !in (ref1 . (User <: follows))) && (ref0 in ((ref1 . (User <: follows)) . (User <: follows)))) <=> (ref0 in (ref1 . (User <: suggested)))));22
72;this/inv5;(all ref0:(one User)|(ref0 in ((User <: follows) . Influencer)));11;(all ref0:(one User),ref1:(one (Influencer - ref0))|(ref0 in ((User <: follows) . ref1)));5
73;this/inv7;(all ref0:(one User),ref1:(one User)|((! disj[ref0,ref1]) || (((ref1 !in (ref0 . (User <: follows))) && (ref1 in ((ref0 . (User <: follows)) . (User <: follows)))) => (ref1 in (ref0 . (User <: suggested))))));11;(all ref0:(one User),ref1:(one User)|(((ref0 !in ref1) && (ref1 !in (ref0 . (User <: follows))) && (ref1 in ((ref0 . (User <: follows)) . (User <: follows)))) <=> (ref1 in (ref0 . (User <: suggested)))));12
74;this/inv7;(all ref0:(one User),ref1:(one User)|(((ref0 != ref1) && (ref1 !in (ref0 . (User <: follows))) && (ref1 in ((ref0 . (User <: follows)) . (User <: follows)))) => (ref1 in (ref0 . (User <: suggested)))));11;(all ref0:(one User),ref1:(one User)|(((ref0 != ref1) && (ref1 !in (ref0 . (User <: follows))) && (ref1 in ((ref0 . (User <: follows)) . (User <: follows)))) <=> (ref1 in (ref0 . (User <: suggested)))));6
75;this/inv5;(all ref0:(one Influencer)|(User in ((User <: follows) . ref0)));11;(all ref0:(one Influencer)|((User - ref0) in ((User <: follows) . ref0)));4
76;this/inv7;(all ref0:(one User),ref1:(one User)|(((ref1 -> ref0) in (User <: suggested)) => ((some ref2:(one User)|(((ref1 -> ref2) in (User <: follows)) && ((ref2 -> ref0) in (User <: follows)))) && (ref0 != ref1) && ((ref1 -> ref0) !in (User <: follows)))));11;(all ref0:(one User),ref1:(one User)|(((some ref2:(one User)|(((ref0 -> ref2) in (User <: follows)) && ((ref2 -> ref1) in (User <: follows)))) && (ref0 != ref1) && ((ref0 -> ref1) !in (User <: follows))) <=> ((ref0 -> ref1) in (User <: suggested))));24
77;this/inv4;(all ref0:(one User)|(some ref1:(one Ad)|(((ref0 -> ref1) in (User <: posts)) => (all ref2:(one Photo)|(((ref0 -> ref2) in (User <: posts)) => (ref2 in Ad))))));11;(all ref0:(one User)|((some ref1:(one Ad)|((ref0 -> ref1) in (User <: posts))) => (all ref2:(one Photo)|(((ref0 -> ref2) in (User <: posts)) => (ref2 in Ad)))));6
78;this/inv2;(all ref0:(one User)|(no (ref0 . (User <: follows))));11;(all ref0:(one User)|(no (ref0 & (ref0 . (User <: follows)))));4
79;this/inv7;(all ref0:(one User),ref1:(one User),ref2:(one User)|(((ref0 -> ref2) in (User <: suggested)) => (((ref0 -> ref1) in (User <: follows)) && ((ref0 -> ref2) !in (User <: follows)) && ((ref1 -> ref2) in (User <: follows)))));11;(all ref0:(one User),ref1:(one User)|(((some ref2:(one User)|(((ref0 -> ref2) in (User <: follows)) && ((ref2 -> ref1) in (User <: follows)))) && (ref0 != ref1) && ((ref0 -> ref1) !in (User <: follows))) <=> ((ref0 -> ref1) in (User <: suggested))));24
80;this/inv3;(all ref0:(one Photo),ref1:(one User)|((ref0 in (ref1 . (User <: sees))) => (ref0 in ((ref1 . (User <: follows)) . (User <: posts)))));11;(all ref0:(one (Photo - Ad)),ref1:(one User)|((ref0 in (ref1 . (User <: sees))) => (ref0 in ((ref1 . (User <: follows)) . (User <: posts)))));4
81;this/inv3;(all ref0:(one Ad),ref1:(one User)|(ref0 in (ref1 . (User <: sees))));11;(all ref0:(one User),ref1:(one ((ref0 . (User <: sees)) - Ad))|(((User <: posts) . ref1) in (ref0 . (User <: follows))));10
82;this/inv4;(all ref0:(one User)|(one ref1:(one (ref0 . (User <: posts)))|((ref1 in Ad) => ((ref0 . (User <: posts)) in Ad))));11;(all ref0:(one User),ref1:(one (ref0 . (User <: posts)))|((ref1 in Ad) => ((ref0 . (User <: posts)) in Ad)));4
83;this/inv7;(all ref0:(one User)|((((ref0 . (User <: follows)) . (User <: follows)) - (ref0 . (User <: follows))) in (ref0 . (User <: suggested))));11;(all ref0:(one User)|(((((ref0 . (User <: follows)) . (User <: follows)) - ref0) - (ref0 . (User <: follows))) = (ref0 . (User <: suggested))));6
84;this/inv7;(all ref0:(one User),ref1:(one (ref0 . (User <: suggested)))|((ref0 != ref1) && (ref1 !in (ref0 . (User <: follows))) && (ref1 in ((ref0 . (User <: follows)) . (User <: follows)))));11;(all ref0:(one User),ref1:(one User)|(((ref0 != ref1) && (ref1 !in (ref0 . (User <: follows))) && (ref1 in ((ref0 . (User <: follows)) . (User <: follows)))) <=> (ref0 in ((User <: suggested) . ref1))));10
85;this/inv2;((User <: follows) !in iden);11;(no ((User <: follows) & iden));3
86;this/inv5;(all ref0:(one (User - Influencer))|(Influencer in (ref0 . (User <: follows))));10;(all ref0:(one User)|((Influencer - ref0) in (ref0 . (User <: follows))));4
87;this/inv7;(all ref0:(one User),ref1:(one User),ref2:(one User)|(((! ((ref0 -> ref2) in (User <: follows))) && (ref0 != ref1) && ((ref0 -> ref1) in (User <: follows)) && (ref1 != ref2) && ((ref1 -> ref2) in (User <: follows))) <=> ((ref0 -> ref2) in (User <: suggested))));10;(all ref0:(one User),ref1:(one User)|((some ref2:(one User)|((! ((ref0 -> ref1) in (User <: follows))) && (ref0 != ref1) && ((ref0 -> ref2) in (User <: follows)) && ((ref2 -> ref1) in (User <: follows)))) <=> ((ref0 -> ref1) in (User <: suggested))));17
88;this/inv5;(all ref0:(one Influencer),ref1:(one User)|((ref0 !in (ref0 . (User <: follows))) && (ref0 in (ref1 . (User <: follows)))));10;(all ref0:(one Influencer),ref1:(one (User - ref0))|(ref0 in (ref1 . (User <: follows))));10
89;this/inv7;(all ref0:(one User),ref1:(one User)|((ref0 in (ref1 . (User <: suggested))) => ((ref0 != ref1) && (ref0 !in (ref1 . (User <: follows))) && (ref0 in ((ref1 . (User <: follows)) . (User <: follows))))));10;(all ref0:(one User),ref1:(one User)|(((ref0 != ref1) && (ref0 !in (ref1 . (User <: follows))) && (ref0 in ((ref1 . (User <: follows)) . (User <: follows)))) <=> (ref0 in (ref1 . (User <: suggested)))));16
90;this/inv7;(all ref0:(one User)|(((((ref0 . (User <: follows)) . (User <: follows)) - (ref0 . (User <: follows))) - ref0) in (ref0 . (User <: suggested))));10;(all ref0:(one User)|(((((ref0 . (User <: follows)) . (User <: follows)) - (ref0 . (User <: follows))) - ref0) = (ref0 . (User <: suggested))));4
91;this/inv7;(all ref0:(one User),ref1:(one User)|(((ref0 !in (ref1 . (User <: follows))) && (ref0 in ((ref1 . (User <: follows)) . (User <: follows)))) => (ref0 in (ref1 . (User <: suggested)))));10;(all ref0:(one User),ref1:(one User)|(((ref0 != ref1) && (ref0 !in (ref1 . (User <: follows))) && (ref0 in ((ref1 . (User <: follows)) . (User <: follows)))) <=> (ref0 in (ref1 . (User <: suggested)))));9
92;this/inv7;(all ref0:(one User),ref1:(one User)|(((ref0 != ref1) && (ref0 !in (ref1 . (User <: follows))) && (ref0 in ((ref1 . (User <: follows)) . (User <: follows)))) => (ref0 in (ref1 . (User <: suggested)))));10;(all ref0:(one User),ref1:(one User)|(((ref0 != ref1) && (ref0 !in (ref1 . (User <: follows))) && (ref0 in ((ref1 . (User <: follows)) . (User <: follows)))) <=> (ref0 in (ref1 . (User <: suggested)))));6
93;this/inv2;(User !in (User . (User <: follows)));10;(all ref0:(one User)|(ref0 !in (ref0 . (User <: follows))));5
94;this/inv7;(all ref0:(one User),ref1:(one (ref0 . (User <: suggested)))|((some ref2:(one (ref0 . (User <: follows)))|(ref1 in (ref2 . (User <: follows)))) && (ref0 != ref1) && (ref1 !in (ref0 . (User <: follows)))));10;(all ref0:(one User)|((ref0 . (User <: suggested)) = {ref1:(one ((ref0 . (User <: follows)) . (User <: follows)))|((ref0 != ref1) && (ref1 !in (ref0 . (User <: follows))))}));14
95;this/inv3;(all ref0:(one (Photo - Ad)),ref1:(one User),ref2:(one User)|((ref0 in (ref1 . (User <: sees))) => ((ref0 in (ref2 . (User <: posts))) && (ref2 in (ref1 . (User <: follows))))));9;(all ref0:(one (Photo - Ad)),ref1:(one User)|(some ref2:(one User)|((ref0 in (ref1 . (User <: sees))) => ((ref0 in (ref2 . (User <: posts))) && (ref2 in (ref1 . (User <: follows)))))));6
