;predicate;formula;frequency;closest_solution;solution_distance
10;this/Inv3;(all ref0:(one User),ref1:(one Work),ref2:(one Work)|((((ref1 . (Work <: source)) = (ref2 . (Work <: source))) && (ref1 in (ref0 . (User <: profile))) && (ref2 in (ref0 . (User <: profile)))) => ((ref1 . (Work <: ids)) != (ref2 . (Work <: ids)))));5;(all ref0:(one User),ref1:(one (ref0 . (User <: profile))),ref2:(one (ref0 . (User <: profile)))|((! disj[ref1,ref2]) || (((ref1 . (Work <: source)) = (ref2 . (Work <: source))) => (no ((ref1 . (Work <: ids)) & (ref2 . (Work <: ids)))))));25
11;this/Inv3;(all ref0:(one Work),ref1:(one Work)|(((ref0 in (User . (User <: profile))) && (ref1 in (User . (User <: profile)))) => (no ((ref0 . (Work <: ids)) & (ref1 . (Work <: ids))))));5;(all ref0:(one User),ref1:(one Work),ref2:(one Work)|(((ref1 != ref2) && ((ref1 + ref2) in (ref0 . (User <: profile))) && ((ref1 . (Work <: source)) = (ref2 . (Work <: source)))) => (no ((ref1 . (Work <: ids)) & (ref2 . (Work <: ids))))));26
12;this/Inv2;(all ref0:(one User),ref1:(one Work)|(some ref2:(one Institution)|((ref1 in (ref0 . (User <: profile))) => ((ref0 in (ref1 . (Work <: source))) || (ref2 in (ref1 . (Work <: source)))))));5;(all ref0:(one User),ref1:(one Work)|((ref1 in (ref0 . (User <: profile))) => ((ref0 in (ref1 . (Work <: source))) || ((ref1 . (Work <: source)) in Institution))));7
13;this/Inv4;(all ref0:(one User),ref1:(one Work),ref2:(one Work)|(((ref1 in (ref0 . (User <: visible))) && (ref2 in (ref0 . (User <: visible)))) => (ref1 != ref2)));5;(all ref0:(one User),ref1:(one (ref0 . (User <: visible))),ref2:(one (ref0 . (User <: visible)))|((! disj[ref1,ref2]) || (ref1 !in (ref2 . (^ ((Work <: ids) . (~ (Work <: ids))))))));27
14;this/Inv3;(all ref0:(one Source),ref1:(one Source),ref2:(one User)|(((ref0 = ref1) && (ref0 = ((ref2 . (User <: profile)) . (Work <: source)))) || ((ref1 = ((ref2 . (User <: profile)) . (Work <: source))) => (one ((ref2 . (User <: profile)) . (Work <: ids))))));5;(all ref0:(one User),ref1:(one (ref0 . (User <: profile))),ref2:(one (ref0 . (User <: profile)))|((! disj[ref1,ref2]) || (((ref1 . (Work <: source)) = (ref2 . (Work <: source))) => (no ((ref1 . (Work <: ids)) & (ref2 . (Work <: ids)))))));29
15;this/Inv4;(all ref0:(one User)|((((ref0 . (User <: visible)) <: (Work <: ids)) . (~ ((ref0 . (User <: visible)) <: (Work <: ids)))) in iden));5;(all ref0:(one User),ref1:(one (ref0 . (User <: visible))),ref2:(one (ref0 . (User <: visible)))|((! disj[ref1,ref2]) || (ref1 !in (ref2 . (^ ((Work <: ids) . (~ (Work <: ids))))))));24
16;this/Inv4;((~ ((User <: visible) . (Work <: ids))) in (Id ->lone User));5;(all ref0:(one User),ref1:(one (ref0 . (User <: visible))),ref2:(one (ref0 . (User <: visible)))|((! disj[ref1,ref2]) || (ref1 !in (ref2 . (^ ((Work <: ids) . (~ (Work <: ids))))))));21
17;this/Inv3;(all ref0:(one User),ref1:(one Work),ref2:(one Work)|(((ref1 in (ref0 . (User <: profile))) && (ref2 in (ref0 . (User <: profile)))) => ((ref1 . (Work <: ids)) != (ref2 . (Work <: ids)))));4;(all ref0:(one User),ref1:(one Work),ref2:(one Work)|(((ref1 != ref2) && ((ref1 + ref2) in (ref0 . (User <: profile))) && ((ref1 . (Work <: source)) = (ref2 . (Work <: source)))) => (no ((ref1 . (Work <: ids)) & (ref2 . (Work <: ids))))));24
18;this/Inv1;(all ref0:(one Work)|((some ((User <: visible) . ref0)) => (some (ref0 . (User <: profile)))));4;(all ref0:(one Work)|(((User <: visible) . ref0) in ((User <: profile) . ref0)));8
19;this/Inv4;(all ref0:(one User),ref1:(one Work),ref2:(one Work)|(((ref1 != ref2) && ((ref1 + ref2) in (ref0 . (User <: visible)))) => (((ref1 . (Work <: ids)) != (ref2 . (Work <: ids))) || ((ref1 . (Work <: source)) != (ref2 . (Work <: source))))));4;(all ref0:(one User),ref1:(one (ref0 . (User <: visible))),ref2:(one (ref0 . (User <: visible)))|((! disj[ref1,ref2]) || (ref1 !in (ref2 . (^ ((Work <: ids) . (~ (Work <: ids))))))));35
20;this/Inv4;(all ref0:(one User),ref1:(one Work),ref2:(one Work)|(((ref1 != ref2) && ((ref1 + ref2) in (ref0 . (User <: visible)))) => (((ref1 . (Work <: ids)) != (ref2 . (Work <: ids))) && ((ref1 . (Work <: source)) != (ref2 . (Work <: source))))));4;(all ref0:(one User),ref1:(one (ref0 . (User <: visible))),ref2:(one (ref0 . (User <: visible)))|((! disj[ref1,ref2]) || (ref1 !in (ref2 . (^ ((Work <: ids) . (~ (Work <: ids))))))));35
21;this/Inv3;(((~ ((User <: profile) . (Work <: ids))) . ((User <: profile) . (Work <: ids))) in iden);4;(all ref0:(one Id),ref1:(one Source),ref2:(one User)|(lone (((Work <: ids) . ref0) & (((Work <: source) . ref1) & (ref2 . (User <: profile))))));17
22;this/Inv4;(all ref0:(one User),ref1:(one Work)|((ref1 in (ref0 . (User <: profile))) => (one ((ref0 . (User <: profile)) & ((ref1 . (Work <: ids)) . (~ (Work <: ids)))))));4;(all ref0:(one User),ref1:(one (ref0 . (User <: visible))),ref2:(one (ref0 . (User <: visible)))|((! disj[ref1,ref2]) || (ref1 !in (ref2 . (^ ((Work <: ids) . (~ (Work <: ids))))))));26
23;this/Inv4;(all ref0:(one User),ref1:(one (ref0 . (User <: visible))),ref2:(one (ref0 . (User <: visible)))|((! disj[ref1,ref2]) || (no ((ref1 . (Work <: ids)) & (ref2 . (Work <: ids))))));4;(all ref0:(one User),ref1:(one (ref0 . (User <: visible))),ref2:(one (ref0 . (User <: visible)))|((! disj[ref1,ref2]) || (ref1 !in (ref2 . (^ ((Work <: ids) . (~ (Work <: ids))))))));15
24;this/Inv2;(all ref0:(one User)|(((ref0 <: (User <: profile)) . Work) in (((Work <: source) . ref0) + ((Work <: source) . Institution))));4;(all ref0:(one User)|((ref0 . (User <: profile)) in (((Work <: source) . ref0) + ((Work <: source) . Institution))));4
25;this/Inv3;(all ref0:(one Id)|(lone ((Work <: ids) . Id)));4;(all ref0:(one Id),ref1:(one Source),ref2:(one User)|(lone (((Work <: ids) . ref0) & (((Work <: source) . ref1) & (ref2 . (User <: profile))))));14
26;this/Inv1;(all ref0:(one User)|((ref0 . (User <: profile)) = (ref0 . (User <: visible))));3;(((User <: profile) & (User <: visible)) = (User <: visible));7
27;this/Inv1;(all ref0:(one Work)|(((User <: visible) . ref0) = (ref0 . (Work <: source))));3;(all ref0:(one Work)|(((User <: visible) . ref0) in ((User <: profile) . ref0)));6
28;this/Inv2;(all ref0:(one Institution),ref1:(one User),ref2:(one Work)|((ref2 in (ref1 . (User <: profile))) => ((ref0 in (ref2 . (Work <: source))) || (ref1 in (ref2 . (Work <: source))))));3;(all ref0:(one User),ref1:(one Work)|((ref1 in (ref0 . (User <: profile))) => ((ref0 in (ref1 . (Work <: source))) || ((ref1 . (Work <: source)) in Institution))));15
29;this/Inv1;(all ref0:(one Work)|((ref0 . (User <: visible)) = (ref0 . (Work <: source))));3;(all ref0:(one User)|((ref0 . (User <: visible)) in (ref0 . (User <: profile))));6
30;this/Inv1;(all ref0:(one Work)|((ref0 in (User . (User <: visible))) => (ref0 in (User . (User <: profile)))));3;(all ref0:(one User),ref1:(one Work)|((ref1 in (ref0 . (User <: visible))) => (ref1 in (ref0 . (User <: profile)))));11
31;this/Inv2;(all ref0:(one User),ref1:(one Work)|((ref1 in (ref0 . (User <: profile))) => (ref0 in (ref1 . (Work <: source)))));3;(all ref0:(one User),ref1:(one Work)|((ref1 in (ref0 . (User <: profile))) => ((ref1 . (Work <: source)) in (ref0 + Institution))));8
32;this/Inv3;(iden in (((User <: profile) . (Work <: ids)) . (~ ((User <: profile) . (Work <: ids)))));3;(all ref0:(one Id),ref1:(one Source),ref2:(one User)|(lone (((Work <: ids) . ref0) & (((Work <: source) . ref1) & (ref2 . (User <: profile))))));17
33;this/Inv4;(all ref0:(one User),ref1:(one Work),ref2:(one Work)|(((ref1 != ref2) && ((ref1 + ref2) in (ref0 . (User <: visible)))) => (no ((ref1 . (Work <: ids)) & (ref2 . (Work <: ids))))));3;(all ref0:(one User),ref1:(one (ref0 . (User <: visible))),ref2:(one (ref0 . (User <: visible)))|((! disj[ref1,ref2]) || (ref1 !in (ref2 . (^ ((Work <: ids) . (~ (Work <: ids))))))));28
34;this/Inv4;(((~ (User <: visible)) . (User <: visible)) in iden);3;(all ref0:(one User),ref1:(one (ref0 . (User <: visible))),ref2:(one (ref0 . (User <: visible)))|((! disj[ref1,ref2]) || (ref1 !in (ref2 . (^ ((Work <: ids) . (~ (Work <: ids))))))));19
35;this/Inv3;(((~ (Work <: ids)) . (Work <: ids)) in iden);3;(all ref0:(one Id),ref1:(one Source),ref2:(one User)|(lone (((Work <: ids) . ref0) & (((Work <: source) . ref1) & (ref2 . (User <: profile))))));17
36;this/Inv3;(all ref0:(one User),ref1:(one (ref0 . (User <: profile))),ref2:(one (ref0 . (User <: profile)))|((ref1 . (Work <: ids)) != (ref2 . (Work <: ids))));3;(all ref0:(one Id),ref1:(one Source),ref2:(one User)|(lone (((Work <: ids) . ref0) & (((Work <: source) . ref1) & (ref2 . (User <: profile))))));17
37;this/Inv4;(all ref0:(one User),ref1:(one Work),ref2:(one Work)|(((ref1 != ref2) && ((ref1 + ref2) in (ref0 . (User <: visible)))) => ((no ((ref1 . (Work <: ids)) & (ref2 . (Work <: ids)))) && ((ref1 . (Work <: source)) != (ref2 . (Work <: source))))));3;(all ref0:(one User),ref1:(one (ref0 . (User <: visible))),ref2:(one (ref0 . (User <: visible)))|((! disj[ref1,ref2]) || (ref1 !in (ref2 . (^ ((Work <: ids) . (~ (Work <: ids))))))));36
38;this/Inv1;((User . (User <: profile)) = (User . (User <: visible)));3;(((User <: profile) & (User <: visible)) = (User <: visible));6
39;this/Inv3;(all ref0:(one Source),ref1:(one User)|(lone ((((Work <: source) . ref0) & (ref1 . (User <: profile))) . (Work <: ids))));3;(all ref0:(one Source),ref1:(one User)|(((((Work <: source) . ref0) & (ref1 . (User <: profile))) <: (Work <: ids)) in (Work lone-> Id)));11
40;this/Inv4;((((User <: visible) . (Work <: ids)) . (~ ((User <: visible) . (Work <: ids)))) in iden);3;(all ref0:(one User),ref1:(one (ref0 . (User <: visible))),ref2:(one (ref0 . (User <: visible)))|((! disj[ref1,ref2]) || (ref1 !in (ref2 . (^ ((Work <: ids) . (~ (Work <: ids))))))));19
41;this/Inv4;(all ref0:(one User),ref1:(one Work),ref2:(one Work)|((((ref1 + ref2) in (ref0 . (User <: profile))) && ((ref1 + ref2) in (ref0 . (User <: visible))) && ((ref1 . (Work <: ids)) = (ref2 . (Work <: ids)))) => ((ref1 . (Work <: source)) = (ref2 . (Work <: source)))));3;(all ref0:(one User),ref1:(one (ref0 . (User <: visible))),ref2:(one (ref0 . (User <: visible)))|((! disj[ref1,ref2]) || (ref1 !in (ref2 . (^ ((Work <: ids) . (~ (Work <: ids))))))));38
42;this/Inv4;(((User <: profile) . (Work <: ids)) in (User ->lone Id));3;(all ref0:(one User),ref1:(one (ref0 . (User <: visible))),ref2:(one (ref0 . (User <: visible)))|((! disj[ref1,ref2]) || (ref1 !in (ref2 . (^ ((Work <: ids) . (~ (Work <: ids))))))));20
43;this/Inv4;(all ref0:(one Id),ref1:(one User)|(lone (((Work <: ids) . ref0) & (ref1 . (User <: visible)))));3;(all ref0:(one User),ref1:(one (ref0 . (User <: visible))),ref2:(one (ref0 . (User <: visible)))|((! disj[ref1,ref2]) || (ref1 !in (ref2 . (^ ((Work <: ids) . (~ (Work <: ids))))))));23
44;this/Inv4;(all ref0:(one User),ref1:(one Work)|((ref1 in (ref0 . (User <: profile))) => ((one ((ref0 . (User <: profile)) & ((ref1 . (Work <: ids)) . (~ (Work <: ids))))) && (one (ref1 . (Work <: ids))))));3;(all ref0:(one User),ref1:(one (ref0 . (User <: visible))),ref2:(one (ref0 . (User <: visible)))|((! disj[ref1,ref2]) || (ref1 !in (ref2 . (^ ((Work <: ids) . (~ (Work <: ids))))))));31
45;this/Inv4;(all ref0:(one User)|((((ref0 . (User <: profile)) <: (Work <: ids)) . (~ ((ref0 . (User <: profile)) <: (Work <: ids)))) in iden));3;(all ref0:(one User),ref1:(one (ref0 . (User <: visible))),ref2:(one (ref0 . (User <: visible)))|((! disj[ref1,ref2]) || (ref1 !in (ref2 . (^ ((Work <: ids) . (~ (Work <: ids))))))));24
46;this/Inv4;(all ref0:(one User),ref1:(one (ref0 . (User <: visible))),ref2:(one (ref0 . (User <: visible)))|((! disj[ref1,ref2]) || (((ref1 + ref2) in (ref0 . (User <: profile))) => (no ((ref1 . (Work <: ids)) & (ref2 . (Work <: ids)))))));3;(all ref0:(one User),ref1:(one (ref0 . (User <: visible))),ref2:(one (ref0 . (User <: visible)))|((! disj[ref1,ref2]) || (ref1 !in (ref2 . (^ ((Work <: ids) . (~ (Work <: ids))))))));23
47;this/Inv3;(all ref0:(one User),ref1:(one Work),ref2:(one Work)|((((ref1 . (Work <: source)) = (ref2 . (Work <: source))) && (ref1 in (ref0 . (User <: profile))) && (ref2 in (ref0 . (User <: profile)))) => (no ((ref1 . (Work <: ids)) & (ref2 . (Work <: ids))))));3;(all ref0:(one User),ref1:(one (ref0 . (User <: profile))),ref2:(one (ref0 . (User <: profile)))|((! disj[ref1,ref2]) || (((ref1 . (Work <: source)) = (ref2 . (Work <: source))) => (no ((ref1 . (Work <: ids)) & (ref2 . (Work <: ids)))))));22
48;this/Inv4;(all ref0:(one User),ref1:(one (ref0 . (User <: visible))),ref2:(one (ref0 . (User <: visible)))|((! disj[ref1,ref2]) || (ref1 !in (ref2 . (^ (((ref0 . (User <: profile)) <: (Work <: ids)) . (~ ((ref0 . (User <: profile)) <: (Work <: ids)))))))));3;(all ref0:(one User),ref1:(one (ref0 . (User <: visible))),ref2:(one (ref0 . (User <: visible)))|((! disj[ref1,ref2]) || (ref1 !in (ref2 . (^ ((Work <: ids) . (~ (Work <: ids))))))));14
49;this/Inv3;((Work <: ids) != (Work <: ids));3;(all ref0:(one Id),ref1:(one Source),ref2:(one User)|(lone (((Work <: ids) . ref0) & (((Work <: source) . ref1) & (ref2 . (User <: profile))))));16
50;this/Inv4;(all ref0:(one Work)|((((User <: visible) . ref0) in User) && (((~ (Work <: ids)) . (Work <: ids)) in iden)));3;(all ref0:(one User),ref1:(one (ref0 . (User <: visible))),ref2:(one (ref0 . (User <: visible)))|((! disj[ref1,ref2]) || (ref1 !in (ref2 . (^ ((Work <: ids) . (~ (Work <: ids))))))));24
51;this/Inv4;((all ref0:(one User),ref1:(one (ref0 . (User <: visible))),ref2:(one (ref0 . (User <: visible)))|((! disj[ref1,ref2]) || (no ((ref1 . (Work <: ids)) & (ref2 . (Work <: ids)))))) && (some Id));3;(all ref0:(one User),ref1:(one (ref0 . (User <: visible))),ref2:(one (ref0 . (User <: visible)))|((! disj[ref1,ref2]) || (ref1 !in (ref2 . (^ ((Work <: ids) . (~ (Work <: ids))))))));18
52;this/Inv1;(Work in (User . (User <: profile)));2;((User <: visible) in (User <: profile));4
53;this/Inv1;(all ref0:(one Work)|(((User <: visible) . ref0) in (ref0 . (Work <: source))));2;(all ref0:(one Work)|(((User <: visible) . ref0) in ((User <: profile) . ref0)));4
54;this/Inv2;(all ref0:(one User)|(((((User <: profile) . ref0) . (Work <: source)) + (((User <: profile) . Institution) . (Work <: source))) = Work));2;(all ref0:(one User)|((((ref0 . (User <: profile)) . (Work <: source)) + ((ref0 . (User <: visible)) . (Work <: source))) in (ref0 + Institution)));14
55;this/Inv4;(all ref0:(one User),ref1:(one Work),ref2:(one Work)|((((ref0 -> ref1) in (User <: visible)) && ((ref0 -> ref2) in (User <: visible))) => (ref1 != ref2)));2;(all ref0:(one User),ref1:(one (ref0 . (User <: visible))),ref2:(one (ref0 . (User <: visible)))|((! disj[ref1,ref2]) || (ref1 !in (ref2 . (^ ((Work <: ids) . (~ (Work <: ids))))))));27
56;this/Inv4;(all ref0:(one User),ref1:(one (ref0 . (User <: profile))),ref2:(one (ref0 . (User <: profile)))|((ref1 = ref2) => (! ((ref1 in (ref0 . (User <: visible))) && (ref2 in (ref0 . (User <: visible)))))));2;(all ref0:(one User),ref1:(one (ref0 . (User <: visible))),ref2:(one (ref0 . (User <: visible)))|((! disj[ref1,ref2]) || (ref1 !in (ref2 . (^ ((Work <: ids) . (~ (Work <: ids))))))));26
57;this/Inv2;(all ref0:(one User)|(((ref0 . (User <: profile)) . (Work <: ids)) in (ref0 + Institution)));2;(all ref0:(one User)|(((ref0 . (User <: profile)) . (Work <: source)) in (ref0 + Institution)));4
58;this/Inv1;((User . (User <: visible)) in (User & (User . (User <: profile))));2;((User <: visible) in (User <: profile));6
59;this/Inv3;(all ref0:(one User),ref1:(one Work),ref2:(one Work)|(((ref1 in (ref0 . (User <: profile))) && (ref2 in (ref0 . (User <: profile)))) => ((ref1 . (Work <: ids)) !in (ref2 . (Work <: ids)))));2;(all ref0:(one User),ref1:(one Work),ref2:(one Work)|(((ref1 != ref2) && ((ref1 + ref2) in (ref0 . (User <: profile))) && ((ref1 . (Work <: source)) = (ref2 . (Work <: source)))) => (no ((ref1 . (Work <: ids)) & (ref2 . (Work <: ids))))));24
60;this/Inv1;(all ref0:(one Work)|(some ((User <: visible) . ref0)));2;((User <: visible) in (User <: profile));6
61;this/Inv3;(all ref0:(one User),ref1:(one (ref0 . (User <: profile)))|((ref1 . (Work <: ids)) !in (((ref0 . (User <: profile)) - ref1) . (Work <: ids))));2;(all ref0:(one Id),ref1:(one Source),ref2:(one User)|(lone (((Work <: ids) . ref0) & (((Work <: source) . ref1) & (ref2 . (User <: profile))))));20
62;this/Inv1;(all ref0:(one Work)|((ref0 . (User <: visible)) in ((Work <: source) . ref0)));2;(all ref0:(one User)|((ref0 . (User <: visible)) in (ref0 . (User <: profile))));4
63;this/Inv1;(all ref0:(one User),ref1:(one Work)|(((ref0 -> ref1) in (User <: profile)) && ((ref0 -> ref1) in (User <: visible))));2;((User <: visible) in (User <: profile));12
64;this/Inv2;(all ref0:(one User),ref1:(one Work)|(((ref1 . (Work <: source)) in ref0) || ((ref1 . (Work <: source)) in Institution)));2;(all ref0:(one User),ref1:(one (ref0 . (User <: profile)))|(((ref1 . (Work <: source)) in ref0) || ((ref1 . (Work <: source)) in Institution)));4
65;this/Inv1;(all ref0:(one Work)|((some ((User <: visible) . ref0)) => (some ((User <: profile) . ref0))));2;(all ref0:(one Work)|(((User <: visible) . ref0) in ((User <: profile) . ref0)));6
66;this/Inv4;(all ref0:(one User),ref1:(one Work),ref2:(one Work)|(((ref1 in (ref0 . (User <: profile))) && (ref1 in (ref0 . (User <: visible))) && (ref2 in (ref0 . (User <: profile))) && (ref2 in (ref0 . (User <: visible)))) => (ref1 = ref2)));2;(all ref0:(one User),ref1:(one (ref0 . (User <: visible))),ref2:(one (ref0 . (User <: visible)))|((! disj[ref1,ref2]) || (ref1 !in (ref2 . (^ ((Work <: ids) . (~ (Work <: ids))))))));37
67;this/Inv4;(all ref0:(one User),ref1:(one Work),ref2:(one Work)|(((ref1 != ref2) && ((ref1 + ref2) in (ref0 . (User <: visible)))) => ((ref1 . (Work <: ids)) != (ref2 . (Work <: ids)))));2;(all ref0:(one User),ref1:(one (ref0 . (User <: visible))),ref2:(one (ref0 . (User <: visible)))|((! disj[ref1,ref2]) || (ref1 !in (ref2 . (^ ((Work <: ids) . (~ (Work <: ids))))))));27
68;this/Inv1;(all ref0:(one Work)|(((User <: profile) . ref0) = ((User <: visible) . ref0)));2;(((User <: profile) & (User <: visible)) = (User <: visible));7
69;this/Inv4;(all ref0:(one User),ref1:(one Work),ref2:(one Work)|(((ref1 . (Work <: ids)) = (ref2 . (Work <: ids))) => ((! (ref1 in (ref0 . (User <: visible)))) && (ref2 in (ref0 . (User <: visible))))));2;(all ref0:(one User),ref1:(one (ref0 . (User <: visible))),ref2:(one (ref0 . (User <: visible)))|((! disj[ref1,ref2]) || (ref1 !in (ref2 . (^ ((Work <: ids) . (~ (Work <: ids))))))));30
70;this/Inv2;(all ref0:(one Institution),ref1:(one User),ref2:(one Work)|((ref0 in (ref2 . (Work <: source))) || ((ref2 in (ref1 . (User <: profile))) => (ref1 in (ref2 . (Work <: source))))));2;(all ref0:(one User),ref1:(one Work)|(((ref1 . (Work <: source)) in Institution) || ((ref1 in (ref0 . (User <: profile))) => (ref0 in (ref1 . (Work <: source))))));17
71;this/Inv2;(all ref0:(one User)|(some ref1:(one Work)|(((ref0 -> ref1) in (User <: profile)) => (((ref1 . (Work <: source)) in Institution) || ((ref1 . (Work <: source)) in User)))));2;(all ref0:(one User),ref1:(one Work)|((ref1 in (ref0 . (User <: profile))) => ((ref0 in (ref1 . (Work <: source))) || ((ref1 . (Work <: source)) in Institution))));12
72;this/Inv4;(all ref0:(one User)|(((~ ((User <: visible) :> (ref0 . (User <: profile)))) . ((User <: visible) :> (ref0 . (User <: profile)))) in iden));2;(all ref0:(one User),ref1:(one (ref0 . (User <: visible))),ref2:(one (ref0 . (User <: visible)))|((! disj[ref1,ref2]) || (ref1 !in (ref2 . (^ ((Work <: ids) . (~ (Work <: ids))))))));28
73;this/Inv3;(((Work <: ids) . (~ (Work <: ids))) in iden);2;(all ref0:(one Id),ref1:(one Source),ref2:(one User)|(lone (((Work <: ids) . ref0) & (((Work <: source) . ref1) & (ref2 . (User <: profile))))));17
74;this/Inv4;(all ref0:(one User)|(lone ((ref0 . (User <: visible)) . (Work <: ids))));2;(all ref0:(one User),ref1:(one (ref0 . (User <: visible))),ref2:(one (ref0 . (User <: visible)))|((! disj[ref1,ref2]) || (ref1 !in (ref2 . (^ ((Work <: ids) . (~ (Work <: ids))))))));20
75;this/Inv4;((User . (User <: visible)) != (User . (User <: visible)));2;(all ref0:(one User),ref1:(one (ref0 . (User <: visible))),ref2:(one (ref0 . (User <: visible)))|((! disj[ref1,ref2]) || (ref1 !in (ref2 . (^ ((Work <: ids) . (~ (Work <: ids))))))));22
76;this/Inv3;(all ref0:(one User),ref1:(one (ref0 . (User <: profile))),ref2:(one (ref0 . (User <: profile)))|(((ref1 . (Work <: ids)) !in (ref2 . (Work <: ids))) && ((ref2 . (Work <: ids)) !in (ref1 . (Work <: ids)))));2;(all ref0:(one Id),ref1:(one Source),ref2:(one User)|(lone (((Work <: ids) . ref0) & (((Work <: source) . ref1) & (ref2 . (User <: profile))))));23
77;this/Inv4;(all ref0:(one User),ref1:(one Work)|((some ((ref0 <: (User <: visible)) . ref1)) => (lone ref1)));2;(all ref0:(one User),ref1:(one (ref0 . (User <: visible))),ref2:(one (ref0 . (User <: visible)))|((! disj[ref1,ref2]) || (ref1 !in (ref2 . (^ ((Work <: ids) . (~ (Work <: ids))))))));24
78;this/Inv2;(all ref0:(one User),ref1:(one Work)|(some ref2:(one Institution)|((ref1 in (ref0 . (User <: profile))) => ((ref0 = (ref1 . (Work <: source))) || ((ref1 . (Work <: source)) = ref2)))));2;(all ref0:(one User),ref1:(one Work)|((ref1 in (ref0 . (User <: profile))) => ((ref0 = (ref1 . (Work <: source))) || ((ref1 . (Work <: source)) in Institution))));9
79;this/Inv3;(one ((User <: profile) . (Work <: ids)));2;(all ref0:(one Id),ref1:(one Source),ref2:(one User)|(lone (((Work <: ids) . ref0) & (((Work <: source) . ref1) & (ref2 . (User <: profile))))));15
80;this/Inv4;(all ref0:(one User)|(one ((Work <: ids) . ((ref0 . (User <: visible)) . (Work <: ids)))));2;(all ref0:(one User),ref1:(one (ref0 . (User <: visible))),ref2:(one (ref0 . (User <: visible)))|((! disj[ref1,ref2]) || (ref1 !in (ref2 . (^ ((Work <: ids) . (~ (Work <: ids))))))));20
81;this/Inv3;(all ref0:(one User)|(one ((ref0 . (User <: profile)) . (Work <: ids))));2;(all ref0:(one Source),ref1:(one User)|(((((Work <: source) . ref0) & (ref1 . (User <: profile))) <: (Work <: ids)) in (Work lone-> Id)));16
82;this/Inv4;(all ref0:(one Id),ref1:(one Id),ref2:(one User)|(((ref0 in ((ref2 . (User <: visible)) . (Work <: ids))) && (ref1 in ((ref2 . (User <: visible)) . (Work <: ids)))) => (ref0 != ref1)));2;(all ref0:(one User),ref1:(one (ref0 . (User <: visible))),ref2:(one (ref0 . (User <: visible)))|((! disj[ref1,ref2]) || (ref1 !in (ref2 . (^ ((Work <: ids) . (~ (Work <: ids))))))));29
83;this/Inv3;(all ref0:(one User),ref1:(one Work),ref2:(one Work)|((! disj[ref1,ref2]) || (((ref1 + ref2) in (ref0 . (User <: profile))) => (no ((ref1 . (Work <: ids)) & (ref2 . (Work <: ids)))))));2;(all ref0:(one User),ref1:(one (ref0 . (User <: profile))),ref2:(one (ref0 . (User <: profile)))|((! disj[ref1,ref2]) || (((ref1 . (Work <: source)) = (ref2 . (Work <: source))) => (no ((ref1 . (Work <: ids)) & (ref2 . (Work <: ids)))))));16
84;this/Inv4;(one ((~ ((User <: visible) . (Work <: ids))) . ((User <: visible) . (Work <: ids))));2;(all ref0:(one User),ref1:(one (ref0 . (User <: visible))),ref2:(one (ref0 . (User <: visible)))|((! disj[ref1,ref2]) || (ref1 !in (ref2 . (^ ((Work <: ids) . (~ (Work <: ids))))))));20
