;predicate;formula;frequency;closest_solution;solution_distance
19;this/complete;(all ref0:(one Node)|((ref0 . (Node <: adj)) = (Node - ref0)));9;(all ref0:(one Node)|((ref0 . (Node <: adj)) = Node));4
20;this/complete;(all ref0:(one Node)|((Node - ref0) in (ref0 . (Node <: adj))));9;(all ref0:(one Node)|(Node in (ref0 . (Node <: adj))));4
21;this/noLoops;(all ref0:(one Node)|(ref0 != (ref0 . (Node <: adj))));8;(no ref0:(one Node)|(ref0 in (ref0 . (Node <: adj))));4
22;this/weaklyConnected;(all ref0:(one Node)|(Node in ((ref0 . (^ (Node <: adj))) + (ref0 . (^ (~ (Node <: adj)))))));8;(all ref0:(one Node)|(Node in (ref0 + (ref0 . (^ ((Node <: adj) + (~ (Node <: adj))))))));7
23;this/complete;(all ref0:(one Node),ref1:(one Node)|((ref0 in (ref1 . (^ (Node <: adj)))) && (ref1 in (ref0 . (^ (Node <: adj))))));8;(all ref0:(one Node),ref1:(one Node)|((ref0 in (ref1 . (Node <: adj))) && (ref1 in (ref0 . (Node <: adj)))));6
24;this/weaklyConnected;(all ref0:(one Node)|(Node in ((ref0 . (* (Node <: adj))) + (ref0 . (* (~ (Node <: adj)))))));8;(all ref0:(one Node)|(Node in (ref0 + (ref0 . (* ((Node <: adj) + (~ (Node <: adj))))))));7
25;this/weaklyConnected;(all ref0:(one Node),ref1:(one Node)|((ref0 in (ref1 . (^ (Node <: adj)))) && (ref1 in (ref0 . (^ (Node <: adj))))));8;(all ref0:(one Node),ref1:(one Node)|(ref1 in (ref0 . (* ((Node <: adj) + (~ (Node <: adj)))))));16
26;this/complete;(all ref0:(one Node)|(ref0 in (ref0 . (^ (Node <: adj)))));7;(all ref0:(one Node)|(Node in (ref0 . (Node <: adj))));5
27;this/undirected;(no (Node <: adj));7;(no ((Node <: adj) - (~ (Node <: adj))));3
28;this/oriented;((Node <: adj) != (~ (Node <: adj)));7;(no ((Node <: adj) & (~ (Node <: adj))));3
29;this/weaklyConnected;(all ref0:(one Node)|((ref0 + ((ref0 . (^ (Node <: adj))) + (ref0 . (^ (~ (Node <: adj)))))) = Node));7;(all ref0:(one Node)|((ref0 + (ref0 . (^ ((Node <: adj) + (~ (Node <: adj)))))) = Node));9
30;this/acyclic;(all ref0:(one Node)|(ref0 !in (ref0 . (Node <: adj))));7;(all ref0:(one Node)|(ref0 !in (ref0 . (^ (Node <: adj)))));3
31;this/weaklyConnected;(all ref0:(one Node)|(((ref0 . (^ (Node <: adj))) + (ref0 . (^ (~ (Node <: adj))))) = Node));7;(all ref0:(one Node)|((ref0 + (ref0 . (^ ((Node <: adj) + (~ (Node <: adj)))))) = Node));7
32;this/weaklyConnected;(all ref0:(one Node),ref1:(one Node)|((! disj[ref0,ref1]) || (ref0 in (ref1 . (^ (Node <: adj)))) || (ref1 in (ref0 . (^ (Node <: adj))))));7;((all ref0:(one Node)|(Node in (ref0 . (^ ((Node <: adj) + (~ (Node <: adj))))))) || (one Node));20
33;this/weaklyConnected;(all ref0:(one Node)|(Node in (((^ (Node <: adj)) . ref0) + (ref0 . (^ (Node <: adj))))));6;(all ref0:(one Node)|(Node in (ref0 + (ref0 . (^ ((Node <: adj) + (~ (Node <: adj))))))));8
34;this/undirected;(all ref0:(one Node),ref1:(one Node)|(((ref0 . (Node <: adj)) = ref1) <=> (ref0 = (ref1 . (Node <: adj)))));6;(all ref0:(one Node)|((ref0 . (Node <: adj)) in ((Node <: adj) . ref0)));11
35;this/complete;(all ref0:(one Node)|(Node in (ref0 . (* (Node <: adj)))));6;(all ref0:(one Node)|(Node in (ref0 . (Node <: adj))));3
36;this/complete;(all ref0:(one Node)|(ref0 in (ref0 . (Node <: adj))));6;(all ref0:(one Node)|(Node in (ref0 . (Node <: adj))));4
37;this/noLoops;(all ref0:(one Node)|(ref0 !in (ref0 . (* (Node <: adj)))));6;(all ref0:(one Node)|(ref0 !in (ref0 . (Node <: adj))));3
38;this/oriented;(((Node <: adj) & (~ (Node <: adj))) in iden);6;(no ((Node <: adj) & (~ (Node <: adj))));3
39;this/weaklyConnected;(Node in (Node . (^ (Node <: adj))));6;(((Node -> Node) - iden) in (^ ((Node <: adj) + (~ (Node <: adj)))));7
40;this/weaklyConnected;(all ref0:(one Node)|(Node in ((ref0 . (* (Node <: adj))) + (ref0 . (~ (* (Node <: adj)))))));6;(all ref0:(one Node)|(Node in (ref0 + (ref0 . (^ ((Node <: adj) + (~ (Node <: adj))))))));9
41;this/weaklyConnected;(all ref0:(one Node),ref1:(one Node)|(((ref0 in (ref1 . (Node <: adj))) || (ref0 in (ref1 . (~ (Node <: adj))))) && ((ref1 in (ref0 . (Node <: adj))) || (ref1 in (ref0 . (~ (Node <: adj)))))));6;(all ref0:(one Node),ref1:(one Node)|(ref1 in (ref0 . (* ((Node <: adj) + (~ (Node <: adj)))))));26
42;this/weaklyConnected;(all ref0:(one Node)|((Node - ref0) in (ref0 . (^ (Node <: adj)))));5;(all ref0:(one Node)|((Node - ref0) in (ref0 . (^ ((Node <: adj) + (~ (Node <: adj)))))));5
43;this/undirected;(all ref0:(one Node),ref1:(one Node)|((! disj[ref0,ref1]) || (((ref0 . (Node <: adj)) = ref1) <=> (ref0 = (ref1 . (Node <: adj))))));5;(all ref0:(one Node),ref1:(one Node)|((! disj[ref0,ref1]) || ((ref1 in (ref0 . (Node <: adj))) => (ref0 in (ref1 . (Node <: adj))))));12
44;this/complete;(all ref0:(one Node)|(ref0 in (ref0 . (* (Node <: adj)))));5;(all ref0:(one Node)|(Node in (ref0 . (Node <: adj))));5
45;this/undirected;(all ref0:(one Node)|(ref0 = ((ref0 . (Node <: adj)) . (Node <: adj))));5;((Node <: adj) = (~ (Node <: adj)));6
46;this/weaklyConnected;(all ref0:(one Node),ref1:(one Node)|((ref0 in (ref1 . (^ (Node <: adj)))) || (ref1 in (ref0 . (^ (Node <: adj))))));5;((all ref0:(one Node)|(Node in (ref0 . (^ ((Node <: adj) + (~ (Node <: adj))))))) || (one Node));16
47;this/stonglyConnected;(all ref0:(one Node),ref1:(one Node)|(ref1 in (ref0 . (^ (Node <: adj)))));5;(all ref0:(one Node),ref1:(one Node)|(ref1 in (ref0 . (* (Node <: adj)))));6
48;this/weaklyConnected;(all ref0:(one Node)|(Node in ((ref0 . (* (Node <: adj))) + ((~ (* (Node <: adj))) . ref0))));5;((Node -> Node) in (* ((Node <: adj) + (~ (Node <: adj)))));10
49;this/weaklyConnected;(all ref0:(one Node)|(Node in (((* (~ (Node <: adj))) . ref0) + (ref0 . (* (Node <: adj))))));5;(all ref0:(one Node)|(Node in (ref0 + (ref0 . (* ((Node <: adj) + (~ (Node <: adj))))))));9
50;this/oriented;(all ref0:(one Node),ref1:(one Node)|(((ref0 -> ref1) in (Node <: adj)) => ((ref1 -> ref1) !in (Node <: adj))));5;(all ref0:(one Node),ref1:(one Node)|(((ref0 -> ref1) in (Node <: adj)) => ((ref1 -> ref0) !in (Node <: adj))));6
51;this/acyclic;(iden !in (^ (Node <: adj)));5;(iden = (iden - (^ (Node <: adj))));4
52;this/oriented;(no (Node <: adj));4;(no ((Node <: adj) & (~ (Node <: adj))));3
53;this/complete;(all ref0:(one Node),ref1:(one Node)|(ref0 in (ref1 . (^ (Node <: adj)))));4;(all ref0:(one Node),ref1:(one Node)|(ref0 in (ref1 . (Node <: adj))));5
54;this/noLoops;(no ref0:(one Node)|(ref0 in (ref0 . (^ (Node <: adj)))));4;(no ref0:(one Node)|(ref0 in (ref0 . (Node <: adj))));3
55;this/undirected;(((~ (Node <: adj)) . (Node <: adj)) in iden);4;((Node <: adj) in (~ (Node <: adj)));4
56;this/oriented;(no (((Node <: adj) . (~ (Node <: adj))) & iden));4;(no (((Node <: adj) . (Node <: adj)) & iden));1
57;this/weaklyConnected;(all ref0:(one Node)|(ref0 in (ref0 . (^ (Node <: adj)))));4;(all ref0:(one Node)|(Node in (ref0 + (ref0 . (^ ((Node <: adj) + (~ (Node <: adj))))))));7
58;this/complete;(all ref0:(one Node)|((Node - ref0) in (ref0 . (^ (Node <: adj)))));4;(all ref0:(one Node)|(Node in (ref0 . (Node <: adj))));5
59;this/weaklyConnected;(all ref0:(one Node)|(Node in (ref0 . ((Node <: adj) + (~ (Node <: adj))))));4;(all ref0:(one Node)|(Node in (ref0 . (* ((Node <: adj) + (~ (Node <: adj)))))));3
60;this/weaklyConnected;(all ref0:(one Node)|(Node in (((Node <: adj) . ref0) + (ref0 . (Node <: adj)))));4;(all ref0:(one Node)|(Node in (ref0 + (ref0 . (^ ((Node <: adj) + (~ (Node <: adj))))))));8
61;this/weaklyConnected;((^ (Node <: adj)) = (Node -> Node));4;(graph/weaklyConnected[(Node <: adj)]);7
62;this/weaklyConnected;(all ref0:(one Node)|((ref0 . (^ (Node <: adj))) = Node));4;(all ref0:(one Node)|((ref0 + (ref0 . (^ ((Node <: adj) + (~ (Node <: adj)))))) = Node));7
63;this/weaklyConnected;(all ref0:(one Node)|(Node in ((((* (Node <: adj)) . ref0) + (ref0 + (ref0 . (* (Node <: adj))))) . (* (Node <: adj)))));4;(all ref0:(one Node)|(Node in ((((* (Node <: adj)) . ref0) + (ref0 + (ref0 . (* (Node <: adj))))) . (* ((Node <: adj) + (~ (Node <: adj)))))));5
64;this/stonglyConnected;(all ref0:(one Node)|((some (Node <: adj)) && (Node in (ref0 . (^ (Node <: adj))))));4;(all ref0:(one Node)|(Node in (ref0 . ((^ (Node <: adj)) + iden))));7
65;this/weaklyConnected;(all ref0:(one Node)|((ref0 . (^ ((Node <: adj) + (~ (Node <: adj))))) = Node));4;(all ref0:(one Node)|((ref0 + (ref0 . (^ ((Node <: adj) + (~ (Node <: adj)))))) = Node));4
66;this/weaklyConnected;(all ref0:(one Node)|(Node in (ref0 . (Node <: adj))));4;(all ref0:(one Node)|(Node in (ref0 . (* ((Node <: adj) + (~ (Node <: adj)))))));6
67;this/oriented;(all ref0:(one Node)|((ref0 . (Node <: adj)) !in ((Node <: adj) . ref0)));4;(all ref0:(one Node)|(ref0 !in ((ref0 . (Node <: adj)) . (Node <: adj))));6
68;this/weaklyConnected;(all ref0:(one Node)|(Node in (ref0 + (ref0 . (^ (Node <: adj))))));4;(all ref0:(one Node)|(Node in (ref0 + (ref0 . (^ ((Node <: adj) + (~ (Node <: adj))))))));5
69;this/weaklyConnected;(all ref0:(one Node)|(Node in (((^ (Node <: adj)) . ref0) + (ref0 . (* (Node <: adj))))));4;(all ref0:(one Node)|(Node in (ref0 + (ref0 . (* ((Node <: adj) + (~ (Node <: adj))))))));8
70;this/weaklyConnected;(all ref0:(one Node),ref1:(one Node)|((ref0 -> ref1) in (Node <: adj)));4;(graph/weaklyConnected[(Node <: adj)]);8
71;this/oriented;(no ((Node <: adj) + (~ (Node <: adj))));4;(no ((Node <: adj) & (~ (Node <: adj))));2
72;this/undirected;(all ref0:(one Node),ref1:(one Node)|(((ref0 . (Node <: adj)) = ref1) => (ref0 = (ref1 . (Node <: adj)))));4;(all ref0:(one Node),ref1:(one Node)|((ref1 in (ref0 . (Node <: adj))) => (ref0 in (ref1 . (Node <: adj)))));10
73;this/complete;(all ref0:(one Node)|((ref0 . (^ (Node <: adj))) = Node));4;(all ref0:(one Node)|((ref0 . (Node <: adj)) = Node));3
74;this/oriented;(all ref0:(one Node),ref1:(one Node)|((((ref0 -> ref1) in (Node <: adj)) && ((ref1 -> ref0) in (Node <: adj))) => (ref0 = ref1)));4;(! (some ref0:(one Node),ref1:(one Node)|(((ref0 -> ref1) in (Node <: adj)) && ((ref1 -> ref0) in (Node <: adj)))));9
75;this/weaklyConnected;(all ref0:(one Node),ref1:(one Node)|((! disj[ref0,ref1]) || (ref0 in (ref1 . (^ (Node <: adj))))));4;(all ref0:(one Node),ref1:(one Node)|(ref0 in (ref1 . (* ((Node <: adj) + (~ (Node <: adj)))))));14
76;this/acyclic;(all ref0:(one Node),ref1:(one Node)|(((ref0 -> ref1) in (Node <: adj)) => ((ref1 -> ref0) !in (Node <: adj))));4;(all ref0:(one Node)|((ref0 -> ref0) !in (^ (Node <: adj))));12
77;this/complete;(all ref0:(one Node),ref1:(one Node)|((! disj[ref0,ref1]) || (ref0 in (ref1 . (^ (Node <: adj)))) || (ref1 in (ref0 . (^ (Node <: adj))))));4;(all ref0:(one Node),ref1:(one Node)|((ref0 in (ref1 . (Node <: adj))) && (ref1 in (ref0 . (Node <: adj)))));12
78;this/oriented;(! ((Node <: adj) = (~ (Node <: adj))));4;((Node <: adj) = ((Node <: adj) - (~ (Node <: adj))));3
79;this/oriented;((Node <: adj) !in (~ (Node <: adj)));4;(no ((Node <: adj) & (~ (Node <: adj))));3
80;this/stonglyConnected;(all ref0:(one Node)|(Node in ((ref0 . (^ (Node <: adj))) + (ref0 . (^ (~ (Node <: adj)))))));4;(all ref0:(one Node)|(Node in (ref0 + (ref0 . (^ (Node <: adj))))));6
81;this/weaklyConnected;(all ref0:(one Node),ref1:(one Node)|(ref1 in (ref0 . (^ (Node <: adj)))));4;(all ref0:(one Node),ref1:(one Node)|(ref1 in (ref0 . (* ((Node <: adj) + (~ (Node <: adj)))))));9
82;this/undirected;(no ((Node <: adj) & (~ (Node <: adj))));4;(no ((Node <: adj) - (~ (Node <: adj))));2
83;this/noLoops;(all ref0:(one Node),ref1:(one Node)|(((ref0 -> ref1) in (Node <: adj)) => (! ((ref1 -> ref0) in (Node <: adj)))));4;(all ref0:(one Node)|(! ((ref0 -> ref0) in (Node <: adj))));11
84;this/undirected;(all ref0:(one Node)|(ref0 in (ref0 . (^ (Node <: adj)))));4;(all ref0:(one Node)|(((Node <: adj) . ref0) in (ref0 . (Node <: adj))));5
85;this/weaklyConnected;(Node in (((Node <: adj) . Node) + (Node . (Node <: adj))));4;((Node -> Node) in (* ((Node <: adj) + (~ (Node <: adj)))));8
86;this/oriented;(! (all ref0:(one Node),ref1:(one (ref0 . (Node <: adj)))|(ref0 in (ref1 . (Node <: adj)))));3;(all ref0:(one Node),ref1:(one (ref0 . (Node <: adj)))|(! (ref0 in (ref1 . (Node <: adj)))));4
87;this/complete;(all ref0:(one Node),ref1:(one Node)|((! disj[ref0,ref1]) || (ref0 in (ref1 . (^ (Node <: adj))))));3;(all ref0:(one Node),ref1:(one Node)|(ref0 in (ref1 . (Node <: adj))));10
88;this/complete;(all ref0:(one Node)|(ref0 in (Node . (Node <: adj))));3;(all ref0:(one Node),ref1:(one Node)|(ref0 in (ref1 . (Node <: adj))));5
89;this/noLoops;(all ref0:(one Node)|(no (ref0 -> ref0)));3;(all ref0:(one Node)|((ref0 -> ref0) !in (Node <: adj)));5
90;this/undirected;(all ref0:(one Node)|(ref0 in (ref0 . (* (Node <: adj)))));3;(all ref0:(one Node)|(((Node <: adj) . ref0) in (ref0 . (Node <: adj))));5
91;this/oriented;(all ref0:(one Node)|(((Node <: adj) . ref0) != (ref0 . (Node <: adj))));3;(all ref0:(one Node)|(no (((Node <: adj) . ref0) & (ref0 . (Node <: adj)))));5
92;this/weaklyConnected;((^ ((Node <: adj) + (~ (Node <: adj)))) = (Node -> Node));3;(all ref0:(one Node)|((ref0 + (ref0 . (^ ((Node <: adj) + (~ (Node <: adj)))))) = Node));7
93;this/weaklyConnected;(all ref0:(one Node)|(((((^ (Node <: adj)) . ref0) :> Node) + ((ref0 . (^ (Node <: adj))) :> Node)) = Node));3;(all ref0:(one Node)|((ref0 + (ref0 . (^ ((Node <: adj) + (~ (Node <: adj)))))) = Node));12
94;this/undirected;((Node <: adj) = (Node <: adj));3;((Node <: adj) = (~ (Node <: adj)));1
95;this/weaklyConnected;(all ref0:(one Node),ref1:(one Node)|(((ref0 -> ref1) in (Node <: adj)) || ((ref1 -> ref0) in (Node <: adj))));3;(graph/weaklyConnected[(Node <: adj)]);14
96;this/undirected;(all ref0:(one Node)|(some ((Node <: adj) . ref0)));3;(graph/undirected[(Node <: adj)]);6
97;this/complete;(Node in (Node . (^ (Node <: adj))));3;((Node -> Node) in (Node <: adj));3
98;this/complete;(Node = (Node . (^ (Node <: adj))));3;((Node <: adj) = (Node -> Node));5
99;this/complete;(all ref0:(one Node),ref1:(one Node)|(ref1 in (ref0 . (^ (Node <: adj)))));3;(all ref0:(one Node),ref1:(one Node)|(ref1 in (ref0 . (Node <: adj))));5
100;this/weaklyConnected;(all ref0:(one Node)|(Node in (((^ (~ (Node <: adj))) . ref0) + (ref0 . (^ (Node <: adj))))));3;(all ref0:(one Node)|(Node in (ref0 + (ref0 . (^ ((Node <: adj) + (~ (Node <: adj))))))));9
101;this/weaklyConnected;(all ref0:(one Node),ref1:(one Node)|(ref1 in (ref0 . (^ ((Node <: adj) + (~ (Node <: adj)))))));3;(all ref0:(one Node),ref1:(one Node)|(ref1 in (ref0 . (* ((Node <: adj) + (~ (Node <: adj)))))));6
102;this/weaklyConnected;(all ref0:(one Node)|((ref0 . ((Node <: adj) + (~ (Node <: adj)))) = Node));3;(all ref0:(one Node)|((ref0 . (* ((Node <: adj) + (~ (Node <: adj))))) = Node));3
103;this/undirected;(all ref0:(one Node)|(no (ref0 . (Node <: adj))));3;(no ((Node <: adj) - (~ (Node <: adj))));6
104;this/noLoops;(all ref0:(one Node)|(no (ref0 . (^ (Node <: adj)))));3;(no ((Node <: adj) & iden));6
105;this/weaklyConnected;(all ref0:(one Node)|(Node in (ref0 . ((^ (Node <: adj)) + (~ (Node <: adj))))));3;(all ref0:(one Node)|(Node in (ref0 . (* ((Node <: adj) + (~ (Node <: adj)))))));4
106;this/undirected;(all ref0:(one Node),ref1:(one Node)|(((ref0 . (Node <: adj)) in ref1) <=> ((ref1 . (Node <: adj)) in ref0)));3;(all ref0:(one Node),ref1:(one Node)|((ref1 in (ref0 . (Node <: adj))) => (ref0 in (ref1 . (Node <: adj)))));10
107;this/acyclic;(no (Node . (* (Node <: adj))));3;(graph/dag[(Node <: adj)]);6
108;this/oriented;(no (~ (Node <: adj)));3;(no ((Node <: adj) & (~ (Node <: adj))));2
109;this/weaklyConnected;((* ((Node <: adj) + (~ (Node <: adj)))) = (Node -> Node));3;(all ref0:(one Node)|((ref0 . (* ((Node <: adj) + (~ (Node <: adj))))) = Node));5
110;this/stonglyConnected;((* (Node <: adj)) = (Node -> Node));3;(all ref0:(one Node)|((ref0 . (* (Node <: adj))) = Node));5
111;this/weaklyConnected;(all ref0:(one Node),ref1:(one Node)|((! disj[ref0,ref1]) || ((ref0 in (ref1 . (^ (Node <: adj)))) && (ref1 in (ref0 . (^ (Node <: adj)))))));3;((all ref0:(one Node)|(Node in (ref0 . (^ ((Node <: adj) + (~ (Node <: adj))))))) || (one Node));21
112;this/weaklyConnected;(Node in (Node . (* (Node <: adj))));3;((Node -> Node) in (* ((Node <: adj) + (~ (Node <: adj)))));5
113;this/weaklyConnected;(((^ (Node <: adj)) + (^ (~ (Node <: adj)))) = (Node -> Node));3;(all ref0:(one Node)|((ref0 . (* ((Node <: adj) + (~ (Node <: adj))))) = Node));8
114;this/weaklyConnected;(all ref0:(one Node),ref1:(one Node)|(some (((^ (Node <: adj)) . ref1) & ref0)));3;(graph/weaklyConnected[(Node <: adj)]);10
115;this/complete;(all ref0:(one Node)|(some ((Node <: adj) . ref0)));3;(no ref0:(one Node)|(Node !in (ref0 . (Node <: adj))));7
116;this/weaklyConnected;(some ref0:(one Node)|(Node in (ref0 . (* (Node <: adj)))));3;(all ref0:(one Node)|(Node in (ref0 . (* ((Node <: adj) + (~ (Node <: adj)))))));5
117;this/oriented;(((Node <: adj) . (~ (Node <: adj))) in iden);2;(no (((Node <: adj) . (Node <: adj)) & iden));4
118;this/undirected;(all ref0:(one Node)|(ref0 !in ((ref0 . (Node <: adj)) . (~ (Node <: adj)))));2;((Node <: adj) in (~ (Node <: adj)));7
119;this/acyclic;(all ref0:(one Node)|(no (ref0 . (* (Node <: adj)))));2;(all ref0:(one Node)|(no (ref0 & (ref0 . (^ (Node <: adj))))));6
120;this/complete;(all ref0:(one Node),ref1:(one Node)|((ref0 in (ref1 . (* (Node <: adj)))) && (ref1 in (ref0 . (* (Node <: adj))))));2;(all ref0:(one Node),ref1:(one Node)|((ref0 in (ref1 . (Node <: adj))) && (ref1 in (ref0 . (Node <: adj)))));6
121;this/acyclic;(all ref0:(one Node)|(no (ref0 & (ref0 . (* (Node <: adj))))));2;(all ref0:(one Node)|(no (ref0 & (ref0 . (^ (Node <: adj))))));4
122;this/oriented;((! (all ref2:(one Node),ref3:(one (ref2 . (Node <: adj)))|(ref2 in (ref3 . (Node <: adj))))) && (no ref0:(one Node),ref1:(one (ref0 . (Node <: adj)))|(ref0 in (ref1 . (Node <: adj)))));2;(no ref0:(one Node),ref1:(one (ref0 . (Node <: adj)))|(ref0 in (ref1 . (Node <: adj))));13
123;this/acyclic;(all ref0:(one Node)|(no (ref0 . (^ (Node <: adj)))));2;(all ref0:(one Node)|(no (ref0 & (ref0 . (^ (Node <: adj))))));4
124;this/complete;((Node <: adj) = ((Node -> Node) - iden));2;((Node <: adj) = (Node -> Node));2
125;this/noLoops;(no ref0:(one Node)|(ref0 in (ref0 . (* (Node <: adj)))));2;(no ref0:(one Node)|(ref0 in (ref0 . (Node <: adj))));3
126;this/weaklyConnected;(all ref0:(one Node),ref1:(one Node)|((ref0 in (ref1 . (* (Node <: adj)))) || (ref1 in (ref0 . (* (Node <: adj))))));2;(all ref0:(one Node),ref1:(one Node)|(ref1 in (ref0 . (* ((Node <: adj) + (~ (Node <: adj)))))));14
127;this/oriented;(no ((Node <: adj) - (~ (Node <: adj))));2;(no ((Node <: adj) & (~ (Node <: adj))));2
128;this/oriented;(no (((Node <: adj) - (~ (Node <: adj))) - iden));2;(no ((Node <: adj) & (~ (Node <: adj))));4
129;this/weaklyConnected;(all ref0:(one Node)|(ref0 in (ref0 . (* (Node <: adj)))));2;(all ref0:(one Node)|(Node in (ref0 . (* ((Node <: adj) + (~ (Node <: adj)))))));7
130;this/acyclic;(all ref0:(one Node),ref1:(one Node)|(((ref0 -> ref1) in (Node <: adj)) => (! ((ref1 -> ref0) in (Node <: adj)))));2;((all ref0:(one Node),ref1:(one Node)|(((ref0 -> ref1) in (Node <: adj)) => (! ((ref1 -> ref0) in (Node <: adj))))) && (all ref2:(one Node)|(ref2 !in (ref2 . (^ (Node <: adj))))));12
131;this/undirected;(all ref0:(one Node)|(ref0 in (ref0 . (~ (Node <: adj)))));2;((Node <: adj) in (~ (Node <: adj)));5
132;this/stonglyConnected;((Node <: adj) = (Node -> Node));2;((Node -> Node) in (* (Node <: adj)));5
133;this/undirected;(all ref0:(one Node),ref1:(one (ref0 . (Node <: adj)))|(ref0 in ref1));2;(all ref0:(one Node),ref1:(one (ref0 . (Node <: adj)))|(ref0 in (ref1 . (Node <: adj))));6
134;this/weaklyConnected;(all ref0:(one Node)|(Node in (ref0 + ((ref0 . (^ (Node <: adj))) + (ref0 . (^ (~ (Node <: adj))))))));2;(all ref0:(one Node)|(Node in (ref0 + (ref0 . (^ ((Node <: adj) + (~ (Node <: adj))))))));9
135;this/stonglyConnected;(Node in ((^ (Node <: adj)) . Node));2;(all ref0:(one Node)|(Node in (ref0 . ((^ (Node <: adj)) + iden))));5
136;this/weaklyConnected;(all ref0:(one Node),ref1:(one Node)|(ref0 in (ref1 . (* (Node <: adj)))));2;(all ref0:(one Node),ref1:(one Node)|(ref0 in (ref1 . (* ((Node <: adj) + (~ (Node <: adj)))))));7
137;this/weaklyConnected;((^ (Node <: adj)) = ((Node -> Node) - iden));2;(((Node -> Node) - iden) in (^ ((Node <: adj) + (~ (Node <: adj)))));9
138;this/weaklyConnected;(all ref0:(one Node)|(ref0 in (Node . (Node <: adj))));2;(graph/weaklyConnected[(Node <: adj)]);7
139;this/weaklyConnected;(all ref0:(one Node)|(Node in ((ref0 . (* (Node <: adj))) + (ref0 . (^ (~ (Node <: adj)))))));2;(all ref0:(one Node)|(Node in (ref0 + (ref0 . (^ ((Node <: adj) + (~ (Node <: adj))))))));7
140;this/weaklyConnected;(all ref0:(one Node)|((ref0 . (* (Node <: adj))) = Node));2;(all ref0:(one Node)|((ref0 . (* ((Node <: adj) + (~ (Node <: adj))))) = Node));5
141;this/acyclic;(all ref0:(one Node)|(ref0 !in (ref0 . (~ (Node <: adj)))));2;(all ref0:(one Node)|(ref0 !in (ref0 . (^ (Node <: adj)))));4
142;this/weaklyConnected;((Node -> Node) in (* ((Node <: adj) & (~ (Node <: adj)))));2;((Node -> Node) in (* ((Node <: adj) + (~ (Node <: adj)))));2
143;this/weaklyConnected;(all ref0:(one Node)|((ref0 . (^ ((Node <: adj) + (~ (Node <: adj))))) = (Node - ref0)));2;(all ref0:(one Node)|((ref0 + (ref0 . (^ ((Node <: adj) + (~ (Node <: adj)))))) = Node));6
144;this/stonglyConnected;(all ref0:(one Node)|(((ref0 . (^ (Node <: adj))) :> Node) = Node));2;(all ref0:(one Node)|((ref0 . (* (Node <: adj))) = Node));6
145;this/weaklyConnected;(all ref0:(one Node)|(Node in (ref0 . (ref0 -> (ref0 . (* (Node <: adj)))))));2;(all ref0:(one Node)|(Node in (ref0 . (* ((Node <: adj) + (~ (Node <: adj)))))));9
