;predicate;formula;frequency;closest_solution;solution_distance
62;this/inv7;(all ref0:(one File),ref1:(one File)|(((ref0 -> ref1) in (File <: link)) => ((ref0 !in Trash) && (ref1 !in Trash))));3;(all ref0:(one File),ref1:(one File)|(((ref0 -> ref1) in (File <: link)) => (ref1 !in Trash)));8
63;this/inv9;(all ref0:(one File),ref1:(one File)|((ref0 != ref1) => (no ((ref0 . (File <: link)) & (ref1 . (File <: link))))));3;(all ref0:(one File),ref1:(one File)|(no ((ref0 . (File <: link)) & (ref1 . (~ (File <: link))))));9
64;this/inv4;(Protected in Trash);3;(Protected in (File - Trash));2
65;this/inv4;(all ref0:(one Protected)|(no Trash));3;(no (Protected & Trash));3
66;this/inv3;(some (File - Trash));3;(some Trash);2
67;this/inv5;(all ref0:(one File),ref1:(one Protected)|((ref0 - ref1) in Trash));3;(all ref0:(one (File - Protected))|(ref0 in Trash));5
68;this/inv1;(no File);3;(no Trash);2
69;this/inv5;(no (Protected - Trash));3;(no ((File - Protected) - Trash));2
70;this/inv6;(all ref0:(one File)|(lone (File <: link)));3;(all ref0:(one File)|(lone (ref0 . (File <: link))));4
71;this/inv7;(no ((((File <: link) . File) + (File . (File <: link))) & Trash));3;(no ((File . (File <: link)) & Trash));4
72;this/inv9;(all ref0:(one File)|(lone (ref0 . (File <: link))));3;(all ref0:(one (File . (File <: link)))|(no (ref0 . (File <: link))));4
73;this/inv7;(all ref0:(one ((File <: link) . File))|(ref0 !in File));3;(all ref0:(one (File . (File <: link)))|(ref0 !in Trash));4
74;this/inv7;(no (File . (File <: link)));3;(no ((File . (File <: link)) & Trash));2
75;this/inv5;(Trash in (File - Protected));3;((File - Protected) in Trash);2
76;this/inv9;(((File <: link) . (~ (File <: link))) in iden);3;(no ((File <: link) . (File <: link)));4
77;this/inv3;((no (Protected & Trash)) && (File = (Protected + Trash)));3;((some File) && (some Trash));9
78;this/inv7;(all ref0:(one File)|((some (ref0 . (File <: link))) => (! (ref0 in Trash))));3;(all ref0:(one (File . (File <: link)))|(! (ref0 in Trash)));7
79;this/inv7;(all ref0:(one File),ref1:(one File)|(((ref0 !in Trash) && ((ref0 -> ref1) in (File <: link))) => (ref1 !in Trash)));3;(all ref0:(one File),ref1:(one File)|(((ref0 -> ref1) in (File <: link)) => (ref1 !in Trash)));8
80;this/inv9;(all ref0:(one File),ref1:(one File)|(none = ((ref0 . (File <: link)) & (ref1 . (File <: link)))));3;(all ref0:(one (File . (File <: link)))|(none = (ref0 . (File <: link))));7
81;this/inv6;((File <: link) in (File one-> File));2;((File <: link) in (File ->lone File));2
82;this/inv6;((File <: link) in (File lone-> File));2;((File <: link) in (File ->lone File));2
83;this/inv6;(some (File <: link));2;((File <: link) in (File ->lone File));5
84;this/inv5;((no (Protected & Trash)) && (File in Trash));2;((File - Protected) in Trash);7
85;this/inv6;(all ref0:(one File)|(lone ((File <: link) :> ref0)));2;(all ref0:(one File)|(lone (ref0 . (File <: link))));6
86;this/inv7;(all ref0:(one File)|(no (ref0 . (File <: link))));2;(no ((File <: link) . Trash));3
87;this/inv6;(some ref0:(one File)|(lone (ref0 . (File <: link))));2;(all ref0:(one File)|(lone (ref0 . (File <: link))));2
88;this/inv4;(File = (Protected + Trash));2;(none = (Protected & Trash));4
89;this/inv4;((no (Protected & Trash)) && (File = (Protected + Trash)));2;(no (Protected & Trash));6
90;this/inv5;((no (Protected & Trash)) && (File = (Protected + Trash)));2;(File = (Protected + Trash));5
91;this/inv7;(all ref0:(one File)|(! ((ref0 . (File <: link)) in Trash)));2;(all ref0:(one (File . (File <: link)))|(! (ref0 in Trash)));4
92;this/inv3;(one Trash);2;(some Trash);2
93;this/inv6;(all ref0:(one univ),ref1:(one univ),ref2:(one univ)|(((ref0 in File) && ((ref1 -> ref0) in (File <: link)) && ((ref2 -> ref0) in (File <: link))) => (ref1 = ref2)));2;(all ref0:(one File),ref1:(one File),ref2:(one File)|(((ref1 in (ref0 . (File <: link))) && (ref2 in (ref0 . (File <: link)))) => (ref1 = ref2)));13
94;this/inv9;(all ref0:(one File),ref1:(one File)|((ref0 != ref1) => ((ref0 . (File <: link)) != (ref1 . (File <: link)))));2;(all ref0:(one File)|((some (ref0 . (File <: link))) => (no ((File <: link) . ref0))));11
95;this/inv5;(all ref0:(one Trash)|(ref0 !in Protected));2;(all ref0:(one File)|((ref0 !in Protected) => (ref0 in Trash)));6
96;this/inv6;(some ref0:(one File)|((ref0 . (File <: link)) in File));2;((File <: link) in (File ->lone File));5
97;this/inv5;((all ref0:(one (File - Protected))|(ref0 in Trash)) && (no ref1:(one Protected)|(ref1 in Trash)));2;(all ref0:(one (File - Protected))|(ref0 in Trash));7
98;this/inv1;(all ref0:(one Trash)|((ref0 . (File <: link)) != File));2;(all ref0:(one Trash)|(ref0 !in univ));8
99;this/inv8;(all ref0:(one univ),ref1:(one univ)|(((ref0 -> ref1) in (File <: link)) => (ref1 in Trash)));2;(all ref0:(one File),ref1:(one File)|(! ((ref0 -> ref1) in (File <: link))));9
100;this/inv9;(all ref0:(one File)|(ref0 !in (ref0 . (File <: link))));2;(all ref0:(one (File . (File <: link)))|(no (ref0 . (File <: link))));5
101;this/inv5;(! ((File & Protected) in Trash));2;((File - Protected) in Trash);3
102;this/inv6;((File <: link) in (File lone->lone File));2;((File <: link) in (File ->lone File));2
103;this/inv9;(all ref0:(one univ),ref1:(one univ)|(((ref0 -> ref1) in (File <: link)) => (ref1 !in (File . (File <: link)))));2;(all ref0:(one File),ref1:(one File),ref2:(one File)|(((ref0 -> ref1) in (File <: link)) => ((ref1 -> ref2) !in (File <: link))));9
104;this/inv5;((File & Protected) in Trash);2;((File - Protected) in Trash);2
105;this/inv2;(all ref0:(one File),ref1:(one Trash)|(ref0 in ref1));2;(all ref0:(one File)|(some ref1:(one Trash)|(ref0 in ref1)));4
106;this/inv4;((no Trash) && (File = Protected));2;(no (Protected & Trash));6
107;this/inv7;(some (File . (File <: link)));2;(no ((File . (File <: link)) & Trash));4
108;this/inv5;(some (Trash - Protected));2;((File - Protected) in Trash);5
109;this/inv5;(one (Trash - Protected));2;((File - Protected) in Trash);5
110;this/inv5;(Trash = (Trash - Protected));2;((File - (Protected - Trash)) = Trash);6
111;this/inv2;(all ref0:(one File)|(ref0 = Trash));2;(File = Trash);3
112;this/inv5;(no (Protected + Trash));2;(File = (Protected + Trash));3
113;this/inv5;(all ref0:(one Protected)|(ref0 !in Trash));2;(all ref0:(one (File - Protected))|(ref0 in Trash));4
114;this/inv5;(all ref0:(one File)|((ref0 !in Protected) <=> (ref0 in Trash)));2;(all ref0:(one File)|((ref0 !in Protected) => (ref0 in Trash)));4
115;this/inv5;(all ref0:(one File)|((ref0 in Trash) => (ref0 !in Protected)));2;(all ref0:(one (File - Protected))|(ref0 in Trash));6
116;this/inv3;((some Trash) && (File = Trash));2;(some Trash);4
117;this/inv3;((some Trash) && (File = (Protected + Trash)));2;(some Trash);6
118;this/inv5;(one (Protected - Trash));2;(no ((File - Protected) - Trash));4
119;this/inv4;((no Protected) && (File = Trash));2;(Protected in (File - Trash));5
120;this/inv7;(all ref0:(one File)|(((File <: link) . ref0) in Trash));2;(no ref0:(one (File . (File <: link)))|(ref0 in Trash));4
121;this/inv9;(all ref0:(one File),ref1:(one File)|(no ((ref0 . (File <: link)) & (ref1 . (File <: link)))));2;(all ref0:(one File),ref1:(one File)|(no ((ref0 . (File <: link)) & (ref1 . (~ (File <: link))))));5
122;this/inv9;(all ref0:(one File),ref1:(one File)|(no (((File <: link) . ref0) & (ref0 . (File <: link)))));2;(no (((File <: link) . File) & (File . (File <: link))));6
123;this/inv9;(all ref0:(one File),ref1:(one File)|(no ((ref0 . (File <: link)) -> (ref1 . (File <: link)))));2;(all ref0:(one File),ref1:(one File)|(no ((ref0 . (File <: link)) & (ref1 . (~ (File <: link))))));7
124;this/inv7;(all ref0:(one File)|(some (ref0 . (File <: link))));2;(no ((File <: link) . Trash));5
125;this/inv9;(all ref0:(one File),ref1:(one File)|((! disj[ref0,ref1]) || (none = ((ref0 . (^ (File <: link))) & (ref1 . (^ (File <: link)))))));2;(all ref0:(one (File . (File <: link)))|(none = (ref0 . (File <: link))));14
126;this/inv9;(all ref0:(one File),ref1:(one File)|((! disj[ref0,ref1]) || (none = ((ref0 . (File <: link)) & (ref1 . (File <: link))))));2;(all ref0:(one (File . (File <: link)))|(none = (ref0 . (File <: link))));12
127;this/inv1;(Trash in File);1;(Trash in none);2
128;this/inv2;(all ref0:(one File)|(none = ref0));1;(File = Trash);5
129;this/inv2;(all ref0:(one File)|(ref0 in Protected));1;(all ref0:(one File)|(ref0 in Trash));4
130;this/inv2;((no (File & Protected)) && (File = (Protected + Trash)));1;(File = Trash);7
131;this/inv5;((File in Trash) => (File in (File + Trash)));1;((File - Protected) in Trash);8
132;this/inv7;(all ref0:(one (File - Protected))|((ref0 . (File <: link)) !in Trash));1;(all ref0:(one (File . (File <: link)))|(ref0 !in Trash));4
133;this/inv3;((File - Trash) in Trash);1;(some Trash);5
134;this/inv1;(no ref0:(one Trash)|(ref0 in (ref0 . (File <: link))));1;(all ref0:(one Trash)|(ref0 in none));6
135;this/inv5;((no (Protected & Trash)) && ((File . (File <: link)) in Trash));1;((File - Protected) in Trash);9
136;this/inv6;((all ref0:(one File),ref1:(one File),ref2:(one File)|((((ref0 -> ref1) + (ref0 -> ref2)) in (File <: link)) => (ref0 = ref1))) && (all ref3:(one File)|(lone (ref3 . (File <: link)))));1;((all ref0:(one File),ref1:(one File),ref2:(one File)|((((ref0 -> ref1) + (ref0 -> ref2)) in (File <: link)) => (ref1 = ref2))) && (all ref3:(one File)|(lone (ref3 . (File <: link)))));10
137;this/inv5;((no (Protected & Trash)) && ((File + (File . (File <: link))) in Trash));1;((File - Protected) in Trash);11
138;this/inv7;((File . (File <: link)) in Trash);1;(no ((File . (File <: link)) & Trash));3
139;this/inv7;(File in Protected);1;(no ref0:(one (File . (File <: link)))|(ref0 in Trash));5
140;this/inv7;((all ref0:(one (File . (File <: link)))|(ref0 !in Trash)) && ((File . (File <: link)) !in Trash));1;((all ref0:(one (File . (File <: link)))|(ref0 !in Trash)) && (no ((File . (File <: link)) & Trash)));5
141;this/inv7;(all ref0:(one File)|((ref0 . (File <: link)) in Protected));1;(no ref0:(one (File . (File <: link)))|(ref0 in Trash));6
142;this/inv7;(all ref0:(one File)|(ref0 !in Trash));1;(all ref0:(one (File . (File <: link)))|(ref0 !in Trash));2
143;this/inv7;((all ref0:(one File)|((ref0 . (File <: link)) in Protected)) && (no (Protected & Trash)));1;(all ref0:(one File)|(no ((ref0 . (File <: link)) & Trash)));10
144;this/inv6;(some ref0:(one File)|(lone ((File <: link) :> ref0)));1;(all ref0:(one File)|(lone (ref0 . (File <: link))));6
145;this/inv9;(all ref0:(one (File . (File <: link))),ref1:(one (File . (File <: link)))|(ref0 !in ref1));1;(all ref0:(one (File . (File <: link)))|(no (ref0 . (File <: link))));8
146;this/inv2;(eventually (no File));1;(eventually (File in Trash));3
147;this/inv4;(all ref0:(one File)|(ref0 !in Trash));1;(all ref0:(one Protected)|(ref0 !in Trash));2
148;this/inv7;(all ref0:(one File),ref1:(one File)|(((ref0 -> ref1) in (File <: link)) => ((ref0 -> ref1) in (File <: link))));1;(all ref0:(one File),ref1:(one File)|(((ref0 -> ref1) in (File <: link)) => (! (ref1 in Trash))));9
149;this/inv3;(eventually (File in Trash));1;(some Trash);4
150;this/inv7;(all ref0:(one File),ref1:(one File)|(((ref0 -> ref1) in (File <: link)) => ((ref0 -> ref1) !in (File <: link))));1;(all ref0:(one File),ref1:(one File)|(((ref0 -> ref1) in (File <: link)) => (ref1 !in Trash)));8
151;this/inv7;(no ref0:(one File)|(ref0 in Trash));1;(no ref0:(one (File . (File <: link)))|(ref0 in Trash));2
152;this/inv5;((no (File <: link)) && (no (Protected & Trash)) && ((File - Protected) = Trash));1;((File - (Protected - Trash)) = Trash);9
153;this/inv7;(no ref0:(one File)|((((File <: link) . ref0) & ref0) in Trash));1;(no ref0:(one (File . (File <: link)))|(ref0 in Trash));6
154;this/inv4;(some ref0:(one File)|((ref0 in Protected) => (ref0 !in Trash)));1;(all ref0:(one univ)|((ref0 in Protected) => (ref0 !in Trash)));2
155;this/inv7;(no ((File <: link) -> Trash));1;(no ((File <: link) :> Trash));2
156;this/inv9;(no ((File <: link) . (~ (File <: link))));1;(no ((File <: link) . (File <: link)));1
157;this/inv7;(all ref0:(one File),ref1:(one File)|(((ref0 -> ref1) in (File <: link)) => (ref0 !in Trash)));1;(all ref0:(one File),ref1:(one File)|((ref0 in (ref1 . (File <: link))) => (ref0 !in Trash)));6
158;this/inv9;(one (^ (File <: link)));1;(no ((File <: link) . (File <: link)));5
159;this/inv9;((# (File <: link)) = 1);1;(no ((File <: link) . (File <: link)));6
160;this/inv6;(all ref0:(one (File . (File <: link)))|(lone (ref0 . (File <: link))));1;(all ref0:(one File)|(lone (ref0 . (File <: link))));2
161;this/inv7;(no ref0:(one File),ref1:(one File)|(((ref0 . (File <: link)) = ref1) => (ref1 !in Trash)));1;(all ref0:(one File)|(no ((ref0 . (File <: link)) & Trash)));10
162;this/inv5;(all ref0:(one File)|((ref0 in Protected) => (ref0 in Trash)));1;(all ref0:(one File)|((! (ref0 in Protected)) => (ref0 in Trash)));3
163;this/inv9;(lone (^ (File <: link)));1;(no ((File <: link) . (File <: link)));5
164;this/inv7;(! (some ref0:(one File),ref1:(one File)|((ref0 -> ref1) !in (File <: link))));1;(all ref0:(one (File . (File <: link)))|(ref0 !in Trash));8
165;this/inv6;(no ((File <: link) . Trash));1;(all ref0:(one File)|(lone (ref0 . (File <: link))));5
166;this/inv9;(lone (~ (File <: link)));1;(no ((File <: link) . (File <: link)));5
167;this/inv3;(some File);1;(some Trash);2
168;this/inv8;(all ref0:(one File)|(no ref1:(one File)|((ref0 . (File <: link)) = ref1)));1;(all ref0:(one File)|(none = (ref0 . (File <: link))));5
169;this/inv9;(lone (File . (^ (File <: link))));1;(no ((File <: link) . (File <: link)));5
170;this/inv9;(all ref0:(one File),ref1:(one File)|((ref0 != ref1) => (no (((File <: link) . ref0) & ((File <: link) . ref1)))));1;(no (((File <: link) . File) & (File . (File <: link))));10
171;this/inv8;(no ref0:(one File)|((ref0 . (File <: link)) in File));1;(all ref0:(one File)|(no ((ref0 . (File <: link)) & File)));5
172;this/inv6;(one ((File <: link) . (~ (File <: link))));1;(((~ (File <: link)) . (File <: link)) in iden);5
173;this/inv9;(no ref0:(one File)|(((ref0 . (File <: link)) . (File <: link)) in File));1;(all ref0:(one File)|(no ((ref0 . (File <: link)) . (File <: link))));5
174;this/inv1;(all ref0:(one univ)|(ref0 in Trash));1;(no ref0:(one File)|(ref0 in Trash));2
175;this/inv6;(all ref0:(one File),ref1:(one univ),ref2:(one univ),ref3:(one univ)|(((ref1 in File) && ((ref2 -> ref1) in (File <: link)) && ((ref3 -> ref1) in (File <: link))) => (ref2 = ref3)));1;(all ref0:(one univ),ref1:(one univ),ref2:(one univ)|((((ref0 -> ref1) in (File <: link)) && ((ref0 -> ref2) in (File <: link))) => (ref1 = ref2)));18
176;this/inv9;(all ref0:(one File),ref1:(one (ref0 . (File <: link))),ref2:(one (ref0 . (File <: link)))|((! disj[ref1,ref2]) || (ref1 != ref2)));1;(no ((File <: link) . (File <: link)));15
177;this/inv6;(all ref0:(one File),ref1:(one univ),ref2:(one univ)|((((ref1 -> ref0) in (File <: link)) && ((ref2 -> ref0) in (File <: link))) => (ref1 = ref2)));1;(all ref0:(one File),ref1:(one File),ref2:(one File)|(((ref1 in (ref0 . (File <: link))) && (ref2 in (ref0 . (File <: link)))) => (ref1 = ref2)));10
178;this/inv6;(all ref0:(one File),ref1:(one univ),ref2:(one univ)|((((ref1 -> ref0) in (File <: link)) && ((ref2 -> ref0) in (File <: link))) => ((lone ((File <: link) . ref0)) && (ref1 = ref2))));1;(all ref0:(one File),ref1:(one File),ref2:(one File)|(((ref1 in (ref0 . (File <: link))) && (ref2 in (ref0 . (File <: link)))) => (ref1 = ref2)));15
179;this/inv6;(all ref0:(one File)|(lone File));1;((File <: link) in (File ->lone File));6
180;this/inv6;((all ref0:(one File),ref1:(one univ),ref2:(one univ)|((((ref1 -> ref0) in (File <: link)) && ((ref2 -> ref0) in (File <: link))) => (ref1 = ref2))) && (all ref3:(one File)|(lone ((File <: link) . ref3))));1;(all ref0:(one File),ref1:(one File),ref2:(one File)|(((ref1 in (ref0 . (File <: link))) && (ref2 in (ref0 . (File <: link)))) => (ref1 = ref2)));16
181;this/inv6;((all ref0:(one File),ref1:(one univ),ref2:(one univ)|((((ref1 -> ref0) in (File <: link)) && ((ref2 -> ref0) in (File <: link))) => (ref1 = ref2))) && (all ref3:(one File),ref4:(one File),ref5:(one univ)|((((ref3 -> ref5) in (File <: link)) && ((ref4 -> ref5) in (File <: link))) => (ref3 = ref4))));1;(all ref0:(one File),ref1:(one File),ref2:(one File)|(((ref1 in (ref0 . (File <: link))) && (ref2 in (ref0 . (File <: link)))) => (ref1 = ref2)));29
182;this/inv4;(all ref0:(one File)|((Protected in ref0) => (ref0 !in Trash)));1;(all ref0:(one univ)|((ref0 in Protected) => (ref0 !in Trash)));4
183;this/inv6;(all ref0:(one File),ref1:(one File),ref2:(one univ)|((((ref0 -> ref2) in (File <: link)) && ((ref1 -> ref2) in (File <: link))) => (ref0 = ref1)));1;(all ref0:(one univ),ref1:(one univ),ref2:(one univ)|((((ref0 -> ref1) in (File <: link)) && ((ref0 -> ref2) in (File <: link))) => (ref1 = ref2)));12
184;this/inv7;(((~ (File <: link)) . (File <: link)) in iden);1;(no ((File <: link) . Trash));6
185;this/inv6;(all ref0:(one File),ref1:(one File),ref2:(one File)|((((ref1 -> ref0) in (File <: link)) && ((ref2 -> ref0) in (File <: link))) => (ref1 = ref2)));1;(all ref0:(one File),ref1:(one File),ref2:(one File)|(((ref1 in (ref0 . (File <: link))) && (ref2 in (ref0 . (File <: link)))) => (ref1 = ref2)));10
186;this/inv5;((no Protected) && ((File - Protected) = Trash));1;((File - (Protected - Trash)) = Trash);5
187;this/inv1;(all ref0:(one Trash)|(none = (Trash . (File <: link))));1;(none = Trash);3
188;this/inv1;(all ref0:(one Trash)|(none = (ref0 . (File <: link))));1;(none = Trash);5
189;this/inv6;(no ((File . (File <: link)) & Trash));1;(all ref0:(one File)|(lone (ref0 . (File <: link))));7
190;this/inv7;(all ref0:(one univ)|((ref0 -> Trash) !in (File <: link)));1;(all ref0:(one (File . (File <: link)))|(ref0 !in Trash));4
191;this/inv6;(all ref0:(one File)|(some ref1:(one File)|((ref0 . (File <: link)) = ref1)));1;(all ref0:(one File)|(lone (ref0 . (File <: link))));6
192;this/inv6;(((File <: link) . (~ (File <: link))) in ((~ (File <: link)) . (File <: link)));1;(((~ (File <: link)) . (File <: link)) in iden);5
193;this/inv7;(all ref0:(one univ)|((ref0 -> Trash) in (File <: link)));1;(no ref0:(one (File . (File <: link)))|(ref0 in Trash));4
194;this/inv7;(all ref0:(one univ),ref1:(one univ)|((ref0 -> ref1) in (File <: link)));1;(no ref0:(one (File . (File <: link)))|(ref0 in Trash));7
195;this/inv3;((File - Trash) = Trash);1;(some Trash);5
196;this/inv4;(Protected != Trash);1;(no (Protected & Trash));3
197;this/inv7;(all ref0:(one (((File <: link) . File) + (File . (File <: link))))|(ref0 !in Trash));1;(all ref0:(one (File . (File <: link)))|(ref0 !in Trash));2
198;this/inv6;(one ((File <: link) - iden));1;(((~ (File <: link)) . (File <: link)) in iden);6
199;this/inv6;(lone ref0:(one File)|(all ref1:(one File)|((ref0 . (File <: link)) = ref1)));1;(all ref0:(one File)|(lone (ref0 . (File <: link))));6
200;this/inv3;(no (File & Trash));1;(some (File & Trash));2
201;this/inv6;(lone ref0:(one File)|(all ref1:(one File)|((ref0 != ref1) && ((ref0 . (File <: link)) = ref1))));1;(all ref0:(one File)|(lone (ref0 . (File <: link))));10
202;this/inv5;(no Protected);1;(no ((File - Protected) - Trash));4
203;this/inv9;(all ref0:(one File)|(ref0 !in (ref0 . (~ (File <: link)))));1;(all ref0:(one (File . (File <: link)))|(no (ref0 . (File <: link))));6
204;this/inv6;(lone (iden - (File <: link)));1;(all ref0:(one File)|(lone (ref0 . (File <: link))));5
205;this/inv4;(Protected = Trash);1;(none = (Protected & Trash));2
206;this/inv7;(! ((File . (File <: link)) in Trash));1;(no ((File . (File <: link)) & Trash));4
207;this/inv7;(all ref0:(one univ),ref1:(one univ)|(((ref0 -> ref1) in (File <: link)) => (ref1 in Trash)));1;(all ref0:(one File),ref1:(one File)|(((ref0 -> ref1) in (File <: link)) => (! (ref1 in Trash))));5
208;this/inv6;(lone ref0:(one File)|(ref0 in (File . (File <: link))));1;(((~ (File <: link)) . (File <: link)) in iden);6
209;this/inv9;(all ref0:(one univ),ref1:(one univ),ref2:(one univ)|(((ref0 -> ref1) in (File <: link)) => (((ref0 -> ref2) !in (File <: link)) && ((ref1 -> ref2) !in (File <: link)))));1;(all ref0:(one File),ref1:(one File),ref2:(one File)|(((ref0 -> ref1) in (File <: link)) => ((ref1 -> ref2) !in (File <: link))));12
210;this/inv6;(no ((^ (File <: link)) & iden));1;(((~ (File <: link)) . (File <: link)) in iden);7
211;this/inv8;(File = Trash);1;(none = (File . (File <: link)));4
212;this/inv5;(! (some ref0:(one Protected)|(ref0 !in Trash)));1;(all ref0:(one (File - Protected))|(ref0 in Trash));5
