predicate;formula;frequency;closest_solution;solution_distance
this/inv12;(all ref0:(one Course),ref1:(one Student)|(one (ref1 . (ref0 . (Course <: grades)))));11;(all ref0:(one Course),ref1:(one Person)|(lone (ref1 . (ref0 . (Course <: grades)))));6
this/inv7;(all ref0:(one Student)|(lone (ref0 . (Person <: projects))));11;(all ref0:(one Student),ref1:(one (ref0 . (Person <: enrolled)))|(lone ref2:(one (ref1 . (Course <: projects)))|(ref2 in (ref0 . (Person <: projects)))));7
this/inv8;(all ref0:(one Professor)|(ref0 !in (((ref0 . (Person <: teaches)) . (Course <: grades)) . Grade)));11;(all ref0:(one Professor)|(ref0 !in (Grade . ((ref0 . (Person <: teaches)) . (Course <: grades)))));4
this/inv9;(all ref0:(one Course),ref1:(one Professor),ref2:(one Professor)|((! disj[ref1,ref2]) || ((ref0 in (ref1 . (Person <: teaches))) => (ref0 !in (ref2 . (Person <: enrolled))))));11;(all ref0:(one Professor),ref1:(one Professor)|((! disj[ref0,ref1]) || ((some ((ref0 . (Person <: teaches)) & (ref1 . (Person <: teaches)))) => (all ref2:(one (ref0 . (Person <: teaches)))|(ref1 !in ((Person <: enrolled) . ref2))))));17
this/inv3;(all ref0:(one Course),ref1:(one Person)|(ref0 in (ref1 . (Person <: teaches))));10;(all ref0:(one Course)|(some ref1:(one Professor)|(ref0 in (ref1 . (Person <: teaches)))));4
this/inv5;(all ref0:(one Person)|((some (ref0 . (Person <: projects))) => (ref0 in Student)));10;((all ref0:(one Person)|((some (ref0 . (Person <: projects))) => (ref0 in Student))) && (Project in (Person . (Person <: projects))));8
this/inv6;(all ref0:(one Course),ref1:(one Project),ref2:(one Student)|(((ref2 -> ref1) in (Person <: projects)) => (((ref0 -> ref1) in (Course <: projects)) && ((ref2 -> ref0) in (Person <: enrolled)))));10;(all ref0:(one Project),ref1:(one Student)|(some ref2:(one Course)|(((ref1 -> ref0) in (Person <: projects)) => (((ref1 -> ref2) in (Person <: enrolled)) && ((ref2 -> ref0) in (Course <: projects))))));14
this/inv4;(one ref0:(one Course)|(all ref1:(one Project)|((ref0 -> ref1) in (Course <: projects))));10;(all ref0:(one Project)|(one ref1:(one Course)|((ref1 -> ref0) in (Course <: projects))));6
this/inv8;(all ref0:(one Course),ref1:(one Professor)|(((ref1 -> ref0) !in (Person <: enrolled)) && ((ref1 -> ref0) in (Person <: teaches))));10;(no ref0:(one Course),ref1:(one Professor)|(((ref1 -> ref0) in (Person <: enrolled)) && ((ref1 -> ref0) in (Person <: teaches))));6
this/inv8;(no ((Professor . (Person <: enrolled)) & (Professor . (Person <: teaches))));10;(no ((Person <: enrolled) & (Person <: teaches)));4
this/inv6;(all ref0:(one Project),ref1:(one Student)|(((ref1 -> ref0) in (Person <: projects)) => (some ref2:(one Course)|((ref1 -> ref2) in (Person <: enrolled)))));10;(all ref0:(one Project),ref1:(one Student)|(((ref1 -> ref0) in (Person <: projects)) => ((ref1 -> ref0) in ((Person <: enrolled) . (Course <: projects)))));9
this/inv14;(all ref0:(one Student),ref1:(one Student)|((lone ((ref0 . (Person <: projects)) & (ref1 . (Person <: projects)))) && (ref0 != ref1)));10;(all ref0:(one Student),ref1:(one (Student - ref0))|(lone ((ref0 . (Person <: projects)) & (ref1 . (Person <: projects)))));8
this/inv12;(all ref0:(one Course),ref1:(one Student),ref2:(one Student)|(((ref1 in ((ref0 . (Course <: grades)) . Grade)) && (ref2 in ((ref0 . (Course <: grades)) . Grade))) => (ref1 != ref2)));10;(all ref0:(one Course),ref1:(one Grade),ref2:(one Grade),ref3:(one ((Person <: enrolled) . ref0))|(((ref1 in (ref3 . (ref0 . (Course <: grades)))) && (ref2 in (ref3 . (ref0 . (Course <: grades))))) => (ref1 = ref2)));13
this/inv9;(all ref0:(one Course),ref1:(one Person),ref2:(one Professor)|(((ref0 in (ref1 . (Person <: enrolled))) && (ref0 in (ref2 . (Person <: teaches)))) => (ref1 !in Professor)));9;(all ref0:(one Course),ref1:(one Professor),ref2:(one Professor)|(((ref0 in (ref1 . (Person <: teaches))) && (ref0 in (ref2 . (Person <: teaches)))) => (ref1 !in ((Person <: enrolled) . (ref2 . (Person <: teaches))))));14
this/inv4;(all ref0:(one Course)|(lone (ref0 . (Course <: projects))));9;(all ref0:(one Project)|(one (ref0 . (~ (Course <: projects)))));5
this/inv4;(all ref0:(one Project)|(one (Course . (Course <: projects))));9;(all ref0:(one Project)|(one ((Course <: projects) . ref0)));4
this/inv5;(all ref0:(one Project)|(some ((Person <: projects) . ref0)));9;((Person <: projects) in (Student some-> Project));8
this/inv9;(all ref0:(one Course),ref1:(one Person),ref2:(one Person)|(((ref0 in (ref1 . (Person <: teaches))) && (ref0 in (ref2 . (Person <: enrolled)))) => (ref2 !in Professor)));9;(all ref0:(one Course),ref1:(one Professor),ref2:(one Professor)|(((ref0 in (ref1 . (Person <: teaches))) && (ref0 in (ref2 . (Person <: teaches)))) => (ref1 !in ((Person <: enrolled) . (ref2 . (Person <: teaches))))));14
this/inv13;(all ref0:(one Course),ref1:(one Student)|(some ref2:(one Project)|((ref1 in ((ref0 . (Course <: grades)) . (ordering/last[]))) => ((ref2 in (ref0 . (Course <: projects))) && (ref2 in (ref1 . (Person <: projects)))))));9;(all ref0:(one Course),ref1:(one Student)|((ref1 in ((ref0 . (Course <: grades)) . (ordering/last[]))) => (one ref2:(one Project)|((ref2 in (ref0 . (Course <: projects))) && (ref2 in (ref1 . (Person <: projects)))))));6
this/inv7;(all ref0:(one Student),ref1:(one (ref0 . (Person <: enrolled)))|(lone (ref1 . (Course <: projects))));8;(all ref0:(one Student),ref1:(one (ref0 . (Person <: enrolled)))|(lone ((ref0 . (Person <: projects)) & (ref1 . (Course <: projects)))));8
this/inv8;(no ((Person <: teaches) & iden));8;(no ((Person <: enrolled) & (Person <: teaches)));2
this/inv9;(all ref0:(one Person),ref1:(one Professor)|((some ((ref0 . (Person <: enrolled)) & (ref1 . (Person <: enrolled)))) => (no ((ref0 . (Person <: enrolled)) & (ref1 . (Person <: teaches))))));8;(all ref0:(one Professor),ref1:(one Professor)|((some ((ref0 . (Person <: teaches)) & (ref1 . (Person <: teaches)))) => (no ((ref0 . (Person <: enrolled)) & (ref1 . (Person <: teaches))))));8
this/inv1;(all ref0:(one Course),ref1:(one Student)|(ref0 in (ref1 . (Person <: enrolled))));8;(all ref0:(one Course),ref1:(one (Person - Student))|(ref0 !in (ref1 . (Person <: enrolled))));6
this/inv1;(all ref0:(one Professor)|(none = (ref0 . (Person <: enrolled))));8;(all ref0:(one (Person - Student))|(none = (ref0 . (Person <: enrolled))));2
this/inv7;(all ref0:(one Student)|(lone ((ref0 . (Person <: projects)) & (Course . (Course <: projects)))));8;(all ref0:(one Student),ref1:(one (ref0 . (Person <: enrolled)))|(lone ((ref0 . (Person <: projects)) & (ref1 . (Course <: projects)))));5
this/inv3;(all ref0:(one Course),ref1:(one Person)|((ref1 -> ref0) in (Person <: teaches)));8;(all ref0:(one Course)|(some ref1:(one Professor)|((ref1 -> ref0) in (Person <: teaches))));4
this/inv1;(((Person <: enrolled) . Course) = Student);8;(((Person <: enrolled) . Course) in Student);2
this/inv12;(all ref0:(one Course),ref1:(one Person)|(lone ((ref0 . (Course <: grades)) . ref1)));8;(all ref0:(one Course)|(lone (ref0 . (Course <: grades))));5
this/inv12;(all ref0:(one Course),ref1:(one Student)|((ref0 in (ref1 . (Person <: enrolled))) => (lone ((ref0 . (Course <: grades)) . ref1))));8;(all ref0:(one Course),ref1:(one Student)|((ref0 in (ref1 . (Person <: enrolled))) => (lone ((~ (ref0 . (Course <: grades))) . ref1))));5
this/inv5;(all ref0:(one Project)|(some ref1:(one Student)|(ref1 in ((Person <: projects) . ref0))));7;((Person <: projects) in (Student some-> Project));8
this/inv9;(all ref0:(one Course),ref1:(one Professor),ref2:(one (Professor - ref1))|((ref0 in (ref1 . (Person <: teaches))) => (ref0 !in (ref2 . (Person <: enrolled)))));7;(all ref0:(one Professor)|(ref0 in Professor));14
this/inv5;(all ref0:(one Project)|(some ref1:(one Person)|((ref1 in ((Person <: projects) . ref0)) => (ref1 in Student))));7;((all ref0:(one Project)|(some ((Person <: projects) . ref0))) && (all ref1:(one Project)|(((Person <: projects) . ref1) in Student)));11
this/inv8;(all ref0:(one Course),ref1:(one Professor)|((ref1 in (ref0 . (Person <: teaches))) => (ref1 !in (ref0 . (Person <: enrolled)))));7;(all ref0:(one Course),ref1:(one Person)|((ref1 in (ref0 . (~ (Person <: teaches)))) => (ref1 !in (ref0 . (~ (Person <: enrolled))))));6
this/inv9;(no (Professor . (Person <: enrolled)));7;(all ref0:(one Professor)|(ref0 in Professor));6
this/inv7;(all ref0:(one Student),ref1:(one (ref0 . (Person <: enrolled)))|(one (ref1 . (Course <: projects))));7;(all ref0:(one Student),ref1:(one (ref0 . (Person <: enrolled)))|(lone ref2:(one (ref0 . (Person <: projects)))|(ref2 in (ref1 . (Course <: projects)))));8
this/inv1;(all ref0:(one Course),ref1:(one Person)|((ref1 in (ref0 . (Person <: enrolled))) => (ref1 in Student)));7;(all ref0:(one Course),ref1:(one Person)|((ref1 in (ref0 . (~ (Person <: enrolled)))) => (ref1 in Student)));5
this/inv5;(no ((Person - Student) . (Person <: projects)));7;((no ((Person - Student) . (Person <: projects))) && (Project in (Person . (Person <: projects))));6
this/inv14;(all ref0:(one Project),ref1:(one Project),ref2:(one Student),ref3:(one Student)|(((ref0 in (ref2 . (Person <: projects))) && (ref0 in (ref3 . (Person <: projects))) && (ref1 in (ref2 . (Person <: projects))) && (ref1 in (ref3 . (Person <: projects)))) => (ref0 = ref1)));7;(all ref0:(one Project),ref1:(one Project),ref2:(one Student),ref3:(one Student)|(((ref0 in (ref2 . (Person <: projects))) && (ref0 in (ref3 . (Person <: projects))) && (ref1 in (ref2 . (Person <: projects))) && (ref1 in (ref3 . (Person <: projects))) && (ref2 != ref3)) => (ref0 = ref1)));11
this/inv3;(all ref0:(one Course)|(one ((Person <: teaches) . ref0)));7;(no ref0:(one Course)|(no ((Person <: teaches) . ref0)));4
this/inv3;(all ref0:(one Course),ref1:(one Professor)|((ref1 -> ref0) in (Person <: teaches)));7;(all ref0:(one Course)|(some ref1:(one Professor)|((ref1 -> ref0) in (Person <: teaches))));4
this/inv1;(all ref0:(one Course),ref1:(one Student)|((ref1 -> ref0) in (Person <: enrolled)));7;(all ref0:(one Course)|(! (some ref1:(one (Person - Student))|((ref1 -> ref0) in (Person <: enrolled)))));5
this/inv5;(all ref0:(one Person),ref1:(one Project)|((ref0 in ((Person <: projects) . ref1)) && (ref0 in Student)));7;((all ref0:(one Project)|(some ref1:(one Student)|(ref0 in (ref1 . (Person <: projects))))) && (((Person <: projects) . Project) in Student));10
this/inv6;(all ref0:(one Course),ref1:(one Project),ref2:(one Student)|((ref1 in (ref2 . (Person <: projects))) => (ref0 in (ref2 . (Person <: enrolled)))));7;(all ref0:(one Course),ref1:(one Project),ref2:(one Student)|((ref1 in (ref2 . (Person <: projects))) => (ref1 in ((ref2 . (Person <: enrolled)) . (Course <: projects)))));10
this/inv5;(all ref0:(one Project),ref1:(one Student)|(ref0 in (ref1 . (Person <: projects))));7;((Person <: projects) in (Student some-> Project));8
this/inv13;(all ref0:(one Course)|(some ((((ref0 . (Course <: grades)) . (ordering/last[])) . (Person <: projects)) & (ref0 . (Course <: projects)))));7;(all ref0:(one Course)|(((ref0 . (Course <: grades)) . (ordering/last[])) in ((Person <: projects) . (ref0 . (Course <: projects)))));7
this/inv4;((all ref0:(one Project)|(ref0 in (Course . (Course <: projects)))) && (all ref1:(one Course),ref2:(one Project),ref3:(one Project)|(((ref2 in (ref1 . (Course <: projects))) && (ref3 in (ref1 . (Course <: projects)))) => (ref2 != ref3))));7;((all ref0:(one Project)|(ref0 in (Course . (Course <: projects)))) && (all ref1:(one Course),ref2:(one Course),ref3:(one Project)|(((ref3 in (ref1 . (Course <: projects))) && (ref3 in (ref2 . (Course <: projects)))) => (ref1 = ref2))));16
this/inv9;(all ref0:(one Professor)|(((ref0 . (Person <: teaches)) . (~ (Person <: teaches))) !in ((ref0 . (Person <: teaches)) . (~ (Person <: enrolled)))));7;(all ref0:(one Professor)|(no (((Person <: teaches) . (ref0 . (Person <: teaches))) & ((ref0 . (Person <: teaches)) . (~ (Person <: enrolled))))));8
this/inv5;((all ref0:(one Project)|(some (Person <: ((Person <: projects) . ref0)))) && (no (Professor . (Person <: projects))));7;((all ref0:(one Project)|(some (Person <: ((Person <: projects) . ref0)))) && (no ((Person - Student) . (Person <: projects))));6
this/inv14;(all ref0:(one Student),ref1:(one (ref0 . (Person <: projects)))|((Person :> (((Person <: projects) . ref1) - ref0)) !in ((Person <: projects) . ((ref0 . (Person <: projects)) - ref1))));7;(all ref0:(one Student),ref1:(one (Student - ref0))|(lone ((ref0 . (Person <: projects)) & (ref1 . (Person <: projects)))));19
this/inv9;(all ref0:(one Course),ref1:(one Professor)|(((ref1 -> ref0) in (Person <: teaches)) => (all ref2:(one Professor)|((ref2 -> ref0) !in (Person <: enrolled)))));7;(all ref0:(one Professor)|(ref0 in Professor));14
this/inv4;(Project in (one (Course . (Course <: projects))));7;(all ref0:(one Project)|(one ref1:(one Course)|(ref1 in ((Course <: projects) . ref0))));7
this/inv4;(all ref0:(one Course),ref1:(one Course),ref2:(one Project)|((((ref0 -> ref2) in (Course <: projects)) && ((ref1 -> ref2) in (Course <: projects))) => (ref0 = ref1)));7;((all ref0:(one Course),ref1:(one Course),ref2:(one Project)|((((ref0 -> ref2) in (Course <: projects)) && ((ref1 -> ref2) in (Course <: projects))) => (ref0 = ref1))) && (all ref3:(one Project)|(some ref4:(one Course)|((ref4 -> ref3) in (Course <: projects)))));14
this/inv9;(all ref0:(one Professor),ref1:(one (ref0 . (Person <: teaches))),ref2:(one ((Person <: teaches) . ref1))|(ref1 !in (ref2 . (Person <: enrolled))));7;(all ref0:(one Professor)|(ref0 in Professor));12
this/inv5;(all ref0:(one Project)|(some (((Person <: projects) . ref0) & Student)));7;((Person <: projects) in (Student some-> Project));8
this/inv11;(all ref0:(one Student)|((((Course <: grades) . ref0) . Grade) in (ref0 . (Person <: enrolled))));7;(all ref0:(one Course)|(((ref0 . (Course <: grades)) . Grade) in (ref0 . (~ (Person <: enrolled)))));5
this/inv5;((all ref0:(one Project)|(some ref1:(one Person)|((ref1 -> ref0) in (Person <: projects)))) && (all ref2:(one Person),ref3:(one Project)|(((ref2 -> ref3) in (Person <: projects)) => (ref3 in Student))));7;((all ref0:(one Project)|(some ref1:(one Person)|((ref1 -> ref0) in (Person <: projects)))) && (all ref2:(one Person),ref3:(one Project)|(((ref2 -> ref3) in (Person <: projects)) => (ref2 in Student))));10
this/inv13;(all ref0:(one Course),ref1:(one Student)|((((ordering/max[(Student . (ref0 . (Course <: grades)))]) = (ref1 . (ref0 . (Course <: grades)))) && (ref0 in (ref1 . (Person <: enrolled)))) => (some ((ref0 . (Course <: projects)) & (ref1 . (Person <: projects))))));7;(all ref0:(one Course),ref1:(one Person)|(((ordering/last[]) = (ref1 . (ref0 . (Course <: grades)))) => (some ((ref0 . (Course <: projects)) & (ref1 . (Person <: projects))))));12
this/inv3;(all ref0:(one Course)|(some ref1:(one (Person - Student))|(ref0 in (ref1 . (Person <: teaches)))));6;(all ref0:(one Course)|(some ref1:(one Professor)|(ref0 in (ref1 . (Person <: teaches)))));4
this/inv6;(all ref0:(one Student)|((ref0 . (Person <: projects)) in (ref0 . (Person <: enrolled))));6;(all ref0:(one Student)|((ref0 . (Person <: projects)) in ((ref0 . (Person <: enrolled)) . (Course <: projects))));4
this/inv1;(all ref0:(one Person)|((ref0 in Professor) => (no (ref0 . (Person <: enrolled)))));6;(all ref0:(one Person)|((ref0 !in Student) => (no (ref0 . (Person <: enrolled)))));6
